RESULT_COUNT: 2590,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,4.63,4.63,4.54,4.54,278000.0,0.0,1.0,4.63,4.63,4.54,4.54,278000.0
2017-09-19,4.67,4.67,4.47,4.54,1504700.0,0.0,1.0,4.67,4.67,4.47,4.54,1504700.0
2017-09-18,4.69,4.69,4.6,4.61,747800.0,0.0,1.0,4.69,4.69,4.6,4.61,747800.0
2017-09-15,4.7,4.7,4.62,4.64,370200.0,0.0,1.0,4.7,4.7,4.62,4.64,370200.0
2017-09-14,4.74,4.74,4.64,4.68,415300.0,0.0,1.0,4.74,4.74,4.64,4.68,415300.0
2017-09-13,4.6,4.78,4.6,4.67,889100.0,0.0,1.0,4.6,4.78,4.6,4.67,889100.0
2017-09-12,4.83,4.83,4.59,4.59,1104500.0,0.0,1.0,4.83,4.83,4.59,4.59,1104500.0
2017-09-11,4.71,4.85,4.71,4.73,405000.0,0.0,1.0,4.71,4.85,4.71,4.73,405000.0
2017-09-08,4.88,4.88,4.71,4.71,726400.0,0.0,1.0,4.88,4.88,4.71,4.71,726400.0
2017-09-07,4.87,4.9,4.8,4.84,701900.0,0.0,1.0,4.87,4.9,4.8,4.84,701900.0
2017-09-06,4.88,4.88,4.84,4.85,285700.0,0.0,1.0,4.88,4.88,4.84,4.85,285700.0
2017-09-05,4.93,4.93,4.83,4.9,339800.0,0.0,1.0,4.93,4.93,4.83,4.9,339800.0
2017-08-30,4.9,4.95,4.89,4.94,393100.0,0.0,1.0,4.9,4.95,4.89,4.94,393100.0
2017-08-29,4.9,4.92,4.78,4.91,495700.0,0.0,1.0,4.9,4.92,4.78,4.91,495700.0
2017-08-28,5.0,5.08,4.92,4.93,947200.0,0.0,1.0,5.0,5.08,4.92,4.93,947200.0
2017-08-25,4.98,5.07,4.92,4.95,2741500.0,0.0,1.0,4.98,5.07,4.92,4.95,2741500.0
2017-08-24,0.0,4.95,4.84,4.87,862000.0,0.0,1.0,0.0,4.95,4.84,4.87,862000.0
2017-08-23,4.75,4.9,4.72,4.89,1022000.0,0.0,1.0,4.75,4.9,4.72,4.89,1022000.0
2017-08-22,4.7,4.75,4.65,4.72,248700.0,0.0,1.0,4.7,4.75,4.65,4.72,248700.0
2017-08-21,4.7,4.78,4.67,4.7,681800.0,0.0,1.0,4.7,4.78,4.67,4.7,681800.0
2017-08-18,4.77,4.8,4.69,4.7,932900.0,0.0,1.0,4.77,4.8,4.69,4.7,932900.0
