RESULT_COUNT: 2365,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.765,0.77,0.765,0.77,20100.0,0.0,1.0,0.765,0.77,0.765,0.77,20100.0
2017-09-19,0.7,0.785,0.69,0.765,389900.0,0.0,1.0,0.7,0.785,0.69,0.765,389900.0
2017-09-18,0.725,0.725,0.69,0.715,336300.0,0.0,1.0,0.725,0.725,0.69,0.715,336300.0
2017-09-15,0.725,0.725,0.725,0.725,17500.0,0.0,1.0,0.725,0.725,0.725,0.725,17500.0
2017-09-14,0.705,0.735,0.7,0.725,255700.0,0.0,1.0,0.705,0.735,0.7,0.725,255700.0
2017-09-13,0.755,0.76,0.7,0.735,239400.0,0.0,1.0,0.755,0.76,0.7,0.735,239400.0
2017-09-12,0.73,0.76,0.715,0.715,195600.0,0.0,1.0,0.73,0.76,0.715,0.715,195600.0
2017-09-11,0.73,0.775,0.7,0.765,299600.0,0.0,1.0,0.73,0.775,0.7,0.765,299600.0
2017-09-08,0.77,0.82,0.73,0.73,157600.0,0.0,1.0,0.77,0.82,0.73,0.73,157600.0
2017-09-07,0.0,0.795,0.77,0.77,87500.0,0.0,1.0,0.0,0.795,0.77,0.77,87500.0
2017-09-06,0.815,0.84,0.8,0.83,71100.0,0.0,1.0,0.815,0.84,0.8,0.83,71100.0
2017-09-05,0.82,0.82,0.78,0.8,86700.0,0.0,1.0,0.82,0.82,0.78,0.8,86700.0
2017-08-30,0.75,0.85,0.75,0.835,170500.0,0.0,1.0,0.75,0.85,0.75,0.835,170500.0
2017-08-29,0.8,0.815,0.77,0.77,46000.0,0.0,1.0,0.8,0.815,0.77,0.77,46000.0
2017-08-28,0.0,0.855,0.78,0.83,17200.0,0.0,1.0,0.0,0.855,0.78,0.83,17200.0
2017-08-25,0.87,0.87,0.86,0.86,15100.0,0.0,1.0,0.87,0.87,0.86,0.86,15100.0
2017-08-24,0.0,0.865,0.79,0.84,22400.0,0.0,1.0,0.0,0.865,0.79,0.84,22400.0
2017-08-23,0.0,0.83,0.83,0.83,93800.0,0.0,1.0,0.0,0.83,0.83,0.83,93800.0
2017-08-22,0.76,0.84,0.76,0.83,20500.0,0.0,1.0,0.76,0.84,0.76,0.83,20500.0
2017-08-21,0.765,0.875,0.765,0.83,80500.0,0.0,1.0,0.765,0.875,0.765,0.83,80500.0
