RESULT_COUNT: 2563,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.0,0.145,0.145,0.145,270000.0,0.0,1.0,0.0,0.145,0.145,0.145,270000.0
2017-09-19,0.0,0.15,0.145,0.15,163000.0,0.0,1.0,0.0,0.15,0.145,0.15,163000.0
2017-09-18,0.15,0.15,0.145,0.15,888000.0,0.0,1.0,0.15,0.15,0.145,0.15,888000.0
2017-09-15,0.15,0.155,0.145,0.15,1504800.0,0.0,1.0,0.15,0.155,0.145,0.15,1504800.0
2017-09-14,0.15,0.155,0.15,0.15,685800.0,0.0,1.0,0.15,0.155,0.15,0.15,685800.0
2017-09-13,0.155,0.155,0.15,0.15,561900.0,0.0,1.0,0.155,0.155,0.15,0.15,561900.0
2017-09-12,0.155,0.155,0.15,0.155,859300.0,0.0,1.0,0.155,0.155,0.15,0.155,859300.0
2017-09-11,0.15,0.16,0.15,0.155,3719900.0,0.0,1.0,0.15,0.16,0.15,0.155,3719900.0
2017-09-08,0.15,0.15,0.145,0.15,1007300.0,0.0,1.0,0.15,0.15,0.145,0.15,1007300.0
2017-09-07,0.145,0.15,0.145,0.15,963700.0,0.0,1.0,0.145,0.15,0.145,0.15,963700.0
2017-09-06,0.14,0.15,0.14,0.15,1064800.0,0.0,1.0,0.14,0.15,0.14,0.15,1064800.0
2017-09-05,0.145,0.145,0.14,0.14,2094000.0,0.0,1.0,0.145,0.145,0.14,0.14,2094000.0
2017-08-30,0.145,0.15,0.145,0.145,814000.0,0.0,1.0,0.145,0.15,0.145,0.145,814000.0
2017-08-29,0.155,0.155,0.145,0.145,8005000.0,0.0,1.0,0.155,0.155,0.145,0.145,8005000.0
2017-08-28,0.165,0.165,0.16,0.165,1255200.0,0.0,1.0,0.165,0.165,0.16,0.165,1255200.0
2017-08-25,0.17,0.17,0.165,0.165,380700.0,0.0,1.0,0.17,0.17,0.165,0.165,380700.0
2017-08-24,0.0,0.17,0.165,0.17,1382400.0,0.0,1.0,0.0,0.17,0.165,0.17,1382400.0
2017-08-23,0.165,0.175,0.165,0.17,10690800.0,0.0,1.0,0.165,0.175,0.165,0.17,10690800.0
2017-08-22,0.16,0.165,0.16,0.165,710700.0,0.0,1.0,0.16,0.165,0.16,0.165,710700.0
2017-08-21,0.16,0.165,0.16,0.165,326500.0,0.0,1.0,0.16,0.165,0.16,0.165,326500.0
2017-08-18,0.165,0.165,0.16,0.16,157800.0,0.0,1.0,0.165,0.165,0.16,0.16,157800.0
2017-08-17,0.16,0.16,0.16,0.16,491000.0,0.0,1.0,0.16,0.16,0.16,0.16,491000.0
2017-08-16,0.16,0.165,0.16,0.165,783900.0,0.0,1.0,0.16,0.165,0.16,0.165,783900.0
2017-08-15,0.16,0.16,0.155,0.155,166200.0,0.0,1.0,0.16,0.16,0.155,0.155,166200.0
2017-08-14,0.155,0.16,0.155,0.16,238100.0,0.0,1.0,0.155,0.16,0.155,0.16,238100.0
2017-08-11,0.155,0.16,0.155,0.16,187500.0,0.0,1.0,0.155,0.16,0.155,0.16,187500.0
2017-08-10,0.16,0.16,0.16,0.16,442900.0,0.0,1.0,0.16,0.16,0.16,0.16,442900.0
2017-08-09,0.16,0.16,0.16,0.16,311300.0,0.0,1.0,0.16,0.16,0.16,0.16,311300.0
2017-08-08,0.16,0.165,0.16,0.16,1160000.0,0.0,1.0,0.16,0.165,0.16,0.16,1160000.0
2017-08-07,0.16,0.165,0.16,0.16,576600.0,0.0,1.0,0.16,0.165,0.16,0.16,576600.0
2017-08-04,0.16,0.165,0.16,0.165,529200.0,0.0,1.0,0.16,0.165,0.16,0.165,529200.0
2017-08-03,0.16,0.16,0.16,0.16,640100.0,0.0,1.0,0.16,0.16,0.16,0.16,640100.0
2017-08-02,0.16,0.165,0.16,0.16,160000.0,0.0,1.0,0.16,0.165,0.16,0.16,160000.0
2017-08-01,0.165,0.165,0.16,0.16,643400.0,0.0,1.0,0.165,0.165,0.16,0.16,643400.0
2017-07-31,0.165,0.165,0.16,0.165,319400.0,0.0,1.0,0.165,0.165,0.16,0.165,319400.0
2017-07-28,0.165,0.165,0.165,0.165,1241900.0,0.0,1.0,0.165,0.165,0.165,0.165,1241900.0
2017-07-27,0.0,0.165,0.165,0.165,2935000.0,0.0,1.0,0.0,0.165,0.165,0.165,2935000.0
2017-07-26,0.165,0.165,0.165,0.165,110000.0,0.0,1.0,0.165,0.165,0.165,0.165,110000.0
2017-07-25,0.17,0.17,0.165,0.165,221800.0,0.0,1.0,0.17,0.17,0.165,0.165,221800.0
2017-07-24,0.0,0.17,0.165,0.17,1575800.0,0.0,1.0,0.0,0.17,0.165,0.17,1575800.0
2017-07-21,0.17,0.175,0.17,0.175,511100.0,0.0,1.0,0.17,0.175,0.17,0.175,511100.0
2017-07-20,0.17,0.175,0.17,0.17,801900.0,0.0,1.0,0.17,0.175,0.17,0.17,801900.0
2017-07-19,0.17,0.175,0.17,0.175,1009900.0,0.0,1.0,0.17,0.175,0.17,0.175,1009900.0
2017-07-18,0.17,0.175,0.17,0.17,734000.0,0.0,1.0,0.17,0.175,0.17,0.17,734000.0
2017-07-17,0.17,0.17,0.17,0.17,1447000.0,0.0,1.0,0.17,0.17,0.17,0.17,1447000.0
2017-07-14,0.17,0.175,0.17,0.17,479000.0,0.0,1.0,0.17,0.175,0.17,0.17,479000.0
2017-07-13,0.17,0.175,0.17,0.175,445800.0,0.0,1.0,0.17,0.175,0.17,0.175,445800.0
2017-07-12,0.17,0.17,0.17,0.17,470000.0,0.0,1.0,0.17,0.17,0.17,0.17,470000.0
2017-07-11,0.17,0.17,0.17,0.17,1831300.0,0.0,1.0,0.17,0.17,0.17,0.17,1831300.0
2017-07-10,0.175,0.175,0.17,0.17,423000.0,0.0,1.0,0.175,0.175,0.17,0.17,423000.0
2017-07-07,0.17,0.175,0.17,0.17,175000.0,0.0,1.0,0.17,0.175,0.17,0.17,175000.0
2017-07-06,0.175,0.175,0.17,0.17,500300.0,0.0,1.0,0.175,0.175,0.17,0.17,500300.0
2017-07-05,0.17,0.175,0.17,0.175,3196500.0,0.0,1.0,0.17,0.175,0.17,0.175,3196500.0
2017-07-04,0.17,0.17,0.17,0.17,110000.0,0.0,1.0,0.17,0.17,0.17,0.17,110000.0
2017-07-03,0.165,0.175,0.165,0.175,1679900.0,0.0,1.0,0.165,0.175,0.165,0.175,1679900.0
2017-06-30,0.17,0.17,0.165,0.165,68700.0,0.0,1.0,0.17,0.17,0.165,0.165,68700.0
2017-06-29,0.17,0.17,0.165,0.17,315000.0,0.0,1.0,0.17,0.17,0.165,0.17,315000.0
2017-06-28,0.0,0.17,0.165,0.17,263000.0,0.0,1.0,0.0,0.17,0.165,0.17,263000.0
2017-06-23,0.17,0.17,0.165,0.17,280800.0,0.0,1.0,0.17,0.17,0.17,0.17,280800.0
2017-06-22,0.17,0.17,0.165,0.17,415000.0,0.0,1.0,0.17,0.17,0.17,0.17,415000.0
