RESULT_COUNT: 2574,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,1.73,1.73,1.69,1.7,450600.0,0.0,1.0,1.73,1.73,1.69,1.7,450600.0
2017-09-19,1.75,1.75,1.71,1.71,572400.0,0.0,1.0,1.75,1.75,1.71,1.71,572400.0
2017-09-18,1.69,1.75,1.67,1.75,1744900.0,0.0,1.0,1.69,1.75,1.67,1.75,1744900.0
2017-09-15,1.7,1.7,1.67,1.69,318900.0,0.0,1.0,1.7,1.7,1.67,1.69,318900.0
2017-09-14,1.7,1.73,1.66,1.69,1253900.0,0.0,1.0,1.7,1.73,1.66,1.69,1253900.0
2017-09-13,1.71,1.75,1.68,1.7,2907900.0,0.0,1.0,1.71,1.75,1.68,1.7,2907900.0
2017-09-12,1.66,1.72,1.65,1.7,3037200.0,0.0,1.0,1.66,1.72,1.65,1.7,3037200.0
2017-09-11,1.68,1.68,1.65,1.65,889500.0,0.0,1.0,1.68,1.68,1.65,1.65,889500.0
2017-09-08,1.69,1.69,1.66,1.67,1058500.0,0.0,1.0,1.69,1.69,1.66,1.67,1058500.0
2017-09-07,0.0,1.7,1.67,1.68,919800.0,0.0,1.0,0.0,1.7,1.67,1.68,919800.0
2017-09-06,0.0,1.73,1.67,1.69,1161200.0,0.0,1.0,0.0,1.73,1.67,1.69,1161200.0
2017-09-05,1.75,1.75,1.67,1.67,1261900.0,0.0,1.0,1.75,1.75,1.67,1.67,1261900.0
2017-08-30,1.74,1.77,1.65,1.75,5694500.0,0.0,1.0,1.74,1.77,1.65,1.75,5694500.0
2017-08-29,1.77,1.78,1.73,1.75,1065400.0,0.0,1.0,1.77,1.78,1.73,1.75,1065400.0
2017-08-28,1.76,1.78,1.74,1.77,735500.0,0.0,1.0,1.76,1.78,1.74,1.77,735500.0
2017-08-25,1.79,1.79,1.74,1.78,3487700.0,0.0,1.0,1.79,1.79,1.74,1.78,3487700.0
2017-08-24,0.0,1.8,1.71,1.78,5696400.0,0.0,1.0,0.0,1.8,1.71,1.78,5696400.0
2017-08-23,1.68,1.7,1.67,1.69,672600.0,0.0,1.0,1.68,1.7,1.67,1.69,672600.0
2017-08-22,1.7,1.72,1.68,1.68,873800.0,0.0,1.0,1.7,1.72,1.68,1.68,873800.0
2017-08-21,1.65,1.72,1.64,1.69,1881800.0,0.0,1.0,1.65,1.72,1.64,1.69,1881800.0
2017-08-18,1.67,1.7,1.64,1.64,2750000.0,0.0,1.0,1.67,1.7,1.64,1.64,2750000.0
2017-08-17,1.61,1.72,1.59,1.69,5133900.0,0.0,1.0,1.61,1.72,1.59,1.69,5133900.0
