RESULT_COUNT: 2638,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.175,0.18,0.175,0.18,5176500.0,0.0,1.0,0.175,0.18,0.175,0.18,5176500.0
2017-09-19,0.175,0.18,0.17,0.175,5839900.0,0.0,1.0,0.175,0.18,0.17,0.175,5839900.0
2017-09-18,0.175,0.18,0.17,0.175,21110400.0,0.0,1.0,0.175,0.18,0.17,0.175,21110400.0
2017-09-15,0.185,0.185,0.18,0.18,10576100.0,0.0,1.0,0.185,0.185,0.18,0.18,10576100.0
2017-09-14,0.185,0.185,0.18,0.18,4053500.0,0.0,1.0,0.185,0.185,0.18,0.18,4053500.0
2017-09-13,0.185,0.19,0.18,0.185,15256400.0,0.0,1.0,0.185,0.19,0.18,0.185,15256400.0
2017-09-12,0.185,0.19,0.18,0.18,22020200.0,0.0,1.0,0.185,0.19,0.18,0.18,22020200.0
2017-09-11,0.19,0.19,0.175,0.18,26944700.0,0.0,1.0,0.19,0.19,0.175,0.18,26944700.0
2017-09-08,0.19,0.195,0.18,0.185,23388200.0,0.0,1.0,0.19,0.195,0.18,0.185,23388200.0
2017-09-07,0.175,0.19,0.175,0.19,70748400.0,0.0,1.0,0.175,0.19,0.175,0.19,70748400.0
2017-09-06,0.17,0.17,0.165,0.165,1420200.0,0.0,1.0,0.17,0.17,0.165,0.165,1420200.0
2017-09-05,0.17,0.17,0.165,0.17,6132100.0,0.0,1.0,0.17,0.17,0.165,0.17,6132100.0
2017-08-30,0.18,0.18,0.165,0.17,16044100.0,0.0,1.0,0.18,0.18,0.165,0.17,16044100.0
2017-08-29,0.17,0.17,0.165,0.17,1633200.0,0.0,1.0,0.17,0.17,0.165,0.17,1633200.0
2017-08-28,0.175,0.175,0.17,0.17,5002300.0,0.0,1.0,0.175,0.175,0.17,0.17,5002300.0
2017-08-25,0.18,0.185,0.17,0.175,15820700.0,0.0,1.0,0.18,0.185,0.17,0.175,15820700.0
2017-08-24,0.0,0.18,0.165,0.18,25291700.0,0.0,1.0,0.0,0.18,0.165,0.18,25291700.0
2017-08-23,0.165,0.165,0.165,0.165,2131300.0,0.0,1.0,0.165,0.165,0.165,0.165,2131300.0
2017-08-22,0.165,0.165,0.16,0.16,2732700.0,0.0,1.0,0.165,0.165,0.16,0.16,2732700.0
2017-08-21,0.165,0.165,0.16,0.165,3183000.0,0.0,1.0,0.165,0.165,0.16,0.165,3183000.0
2017-08-18,0.16,0.16,0.16,0.16,298200.0,0.0,1.0,0.16,0.16,0.16,0.16,298200.0
2017-08-17,0.165,0.165,0.165,0.165,798000.0,0.0,1.0,0.165,0.165,0.165,0.165,798000.0
2017-08-16,0.16,0.17,0.16,0.165,3759800.0,0.0,1.0,0.16,0.17,0.16,0.165,3759800.0
2017-08-15,0.165,0.165,0.16,0.16,271100.0,0.0,1.0,0.165,0.165,0.16,0.16,271100.0
2017-08-14,0.16,0.17,0.16,0.17,2814500.0,0.0,1.0,0.16,0.17,0.16,0.17,2814500.0
2017-08-11,0.16,0.165,0.16,0.16,4214800.0,0.0,1.0,0.16,0.165,0.16,0.16,4214800.0
2017-08-10,0.16,0.165,0.16,0.16,1610600.0,0.0,1.0,0.16,0.165,0.16,0.16,1610600.0
2017-08-09,0.165,0.17,0.16,0.16,3405100.0,0.0,1.0,0.165,0.17,0.16,0.16,3405100.0
2017-08-08,0.165,0.17,0.16,0.165,6271700.0,0.0,1.0,0.165,0.17,0.16,0.165,6271700.0
2017-08-07,0.17,0.17,0.165,0.165,3899000.0,0.0,1.0,0.17,0.17,0.165,0.165,3899000.0
2017-08-04,0.165,0.17,0.165,0.17,10853400.0,0.0,1.0,0.165,0.17,0.165,0.17,10853400.0
2017-08-03,0.17,0.17,0.165,0.165,2599500.0,0.0,1.0,0.17,0.17,0.165,0.165,2599500.0
2017-08-02,0.165,0.17,0.165,0.17,2621700.0,0.0,1.0,0.165,0.17,0.165,0.17,2621700.0
2017-08-01,0.17,0.17,0.165,0.165,5344500.0,0.0,1.0,0.17,0.17,0.165,0.165,5344500.0
2017-07-31,0.17,0.17,0.165,0.17,7936700.0,0.0,1.0,0.17,0.17,0.165,0.17,7936700.0
2017-07-28,0.165,0.17,0.165,0.17,1875700.0,0.0,1.0,0.165,0.17,0.165,0.17,1875700.0
2017-07-27,0.165,0.17,0.165,0.17,883700.0,0.0,1.0,0.165,0.17,0.165,0.17,883700.0
2017-07-26,0.17,0.17,0.165,0.165,5326500.0,0.0,1.0,0.17,0.17,0.165,0.165,5326500.0
2017-07-25,0.17,0.17,0.165,0.165,2248800.0,0.0,1.0,0.17,0.17,0.165,0.165,2248800.0
2017-07-24,0.17,0.175,0.17,0.17,2127400.0,0.0,1.0,0.17,0.175,0.17,0.17,2127400.0
2017-07-21,0.17,0.175,0.165,0.175,7670000.0,0.0,1.0,0.17,0.175,0.165,0.175,7670000.0
2017-07-20,0.17,0.17,0.165,0.17,7625400.0,0.0,1.0,0.17,0.17,0.165,0.17,7625400.0
2017-07-19,0.17,0.175,0.165,0.17,9242700.0,0.0,1.0,0.17,0.175,0.165,0.17,9242700.0
2017-07-18,0.17,0.17,0.165,0.165,5560900.0,0.0,1.0,0.17,0.17,0.165,0.165,5560900.0
2017-07-17,0.17,0.17,0.165,0.17,6176400.0,0.0,1.0,0.17,0.17,0.165,0.17,6176400.0
2017-07-14,0.175,0.175,0.165,0.17,8253200.0,0.0,1.0,0.175,0.175,0.165,0.17,8253200.0
2017-07-13,0.165,0.175,0.165,0.17,11648200.0,0.0,1.0,0.165,0.175,0.165,0.17,11648200.0
2017-07-12,0.165,0.17,0.165,0.165,6441600.0,0.0,1.0,0.165,0.17,0.165,0.165,6441600.0
2017-07-11,0.175,0.175,0.165,0.165,11160800.0,0.0,1.0,0.175,0.175,0.165,0.165,11160800.0
2017-07-10,0.175,0.18,0.17,0.175,7903200.0,0.0,1.0,0.175,0.18,0.17,0.175,7903200.0
2017-07-07,0.175,0.175,0.17,0.175,3906400.0,0.0,1.0,0.175,0.175,0.17,0.175,3906400.0
2017-07-06,0.175,0.175,0.17,0.175,5373500.0,0.0,1.0,0.175,0.175,0.17,0.175,5373500.0
2017-07-05,0.175,0.18,0.17,0.175,7054400.0,0.0,1.0,0.175,0.18,0.17,0.175,7054400.0
2017-07-04,0.18,0.185,0.175,0.175,6774500.0,0.0,1.0,0.18,0.185,0.175,0.175,6774500.0
2017-07-03,0.18,0.18,0.175,0.18,16621100.0,0.0,1.0,0.18,0.18,0.175,0.18,16621100.0
2017-06-30,0.175,0.18,0.175,0.175,4885800.0,0.0,1.0,0.175,0.18,0.175,0.175,4885800.0
2017-06-29,0.18,0.18,0.175,0.175,3367100.0,0.0,1.0,0.18,0.18,0.175,0.175,3367100.0
2017-06-28,0.0,0.185,0.175,0.18,17925900.0,0.0,1.0,0.0,0.185,0.175,0.18,17925900.0
2017-06-23,0.17,0.175,0.165,0.17,11019900.0,0.0,1.0,0.17,0.18,0.17,0.17,11019900.0
2017-06-22,0.155,0.17,0.155,0.17,34780000.0,0.0,1.0,0.16,0.17,0.16,0.17,34780000.0
2017-06-21,0.145,0.15,0.145,0.15,8367700.0,0.0,1.0,0.14,0.15,0.14,0.15,8367700.0
2017-06-20,0.145,0.15,0.14,0.145,8454100.0,0.0,1.0,0.14,0.15,0.14,0.14,8454100.0
2017-06-19,0.15,0.15,0.145,0.145,4119500.0,0.0,1.0,0.15,0.15,0.14,0.14,4119500.0
