RESULT_COUNT: 2403,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.135,0.135,0.13,0.13,14074800.0,0.0,1.0,0.135,0.135,0.13,0.13,14074800.0
2017-09-19,0.135,0.135,0.13,0.135,2954800.0,0.0,1.0,0.135,0.135,0.13,0.135,2954800.0
2017-09-18,0.135,0.135,0.13,0.135,3074500.0,0.0,1.0,0.135,0.135,0.13,0.135,3074500.0
2017-09-15,0.13,0.135,0.13,0.135,19377200.0,0.0,1.0,0.13,0.135,0.13,0.135,19377200.0
2017-09-14,0.13,0.135,0.13,0.13,19603400.0,0.0,1.0,0.13,0.135,0.13,0.13,19603400.0
2017-09-13,0.14,0.14,0.13,0.135,15468500.0,0.0,1.0,0.14,0.14,0.13,0.135,15468500.0
2017-09-12,0.14,0.14,0.135,0.14,3265400.0,0.0,1.0,0.14,0.14,0.135,0.14,3265400.0
2017-09-11,0.14,0.145,0.135,0.14,24082000.0,0.0,1.0,0.14,0.145,0.135,0.14,24082000.0
2017-09-08,0.14,0.145,0.135,0.14,71574700.0,0.0,1.0,0.14,0.145,0.135,0.14,71574700.0
2017-09-07,0.135,0.14,0.13,0.14,14166100.0,0.0,1.0,0.135,0.14,0.13,0.14,14166100.0
2017-09-06,0.135,0.135,0.13,0.135,1628000.0,0.0,1.0,0.135,0.135,0.13,0.135,1628000.0
2017-09-05,0.135,0.135,0.13,0.135,3663800.0,0.0,1.0,0.135,0.135,0.13,0.135,3663800.0
2017-08-30,0.135,0.135,0.13,0.13,18753500.0,0.0,1.0,0.135,0.135,0.13,0.13,18753500.0
2017-08-29,0.135,0.135,0.13,0.135,8374400.0,0.0,1.0,0.135,0.135,0.13,0.135,8374400.0
2017-08-28,0.135,0.14,0.13,0.135,5763500.0,0.0,1.0,0.135,0.14,0.13,0.135,5763500.0
2017-08-25,0.14,0.14,0.135,0.135,25874200.0,0.0,1.0,0.14,0.14,0.135,0.135,25874200.0
2017-08-24,0.0,0.15,0.135,0.14,69006400.0,0.0,1.0,0.0,0.15,0.135,0.14,69006400.0
2017-08-23,0.145,0.15,0.14,0.145,14667400.0,0.0,1.0,0.145,0.15,0.14,0.145,14667400.0
2017-08-22,0.145,0.15,0.14,0.145,31793900.0,0.0,1.0,0.145,0.15,0.14,0.145,31793900.0
2017-08-21,0.145,0.15,0.14,0.145,10969800.0,0.0,1.0,0.145,0.15,0.14,0.145,10969800.0
2017-08-18,0.145,0.15,0.135,0.145,28859400.0,0.0,1.0,0.145,0.15,0.135,0.145,28859400.0
2017-08-17,0.155,0.16,0.14,0.145,81930000.0,0.0,1.0,0.155,0.16,0.14,0.145,81930000.0
2017-08-16,0.15,0.155,0.145,0.155,11712400.0,0.0,1.0,0.15,0.155,0.145,0.155,11712400.0
2017-08-15,0.15,0.155,0.145,0.15,28450600.0,0.0,1.0,0.15,0.155,0.145,0.15,28450600.0
2017-08-14,0.14,0.155,0.14,0.15,25961800.0,0.0,1.0,0.14,0.155,0.14,0.15,25961800.0
2017-08-11,0.145,0.145,0.135,0.14,26877000.0,0.0,1.0,0.145,0.145,0.135,0.14,26877000.0
2017-08-10,0.145,0.145,0.145,0.145,8703300.0,0.0,1.0,0.145,0.145,0.145,0.145,8703300.0
2017-08-09,0.15,0.15,0.145,0.15,1424600.0,0.0,1.0,0.15,0.15,0.145,0.15,1424600.0
