RESULT_COUNT: 2565,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.125,0.125,0.12,0.12,2024100.0,0.0,1.0,0.125,0.125,0.12,0.12,2024100.0
2017-09-19,0.12,0.125,0.12,0.125,456800.0,0.0,1.0,0.12,0.125,0.12,0.125,456800.0
2017-09-18,0.12,0.13,0.115,0.125,12940400.0,0.0,1.0,0.12,0.13,0.115,0.125,12940400.0
2017-09-15,0.125,0.125,0.12,0.12,1906100.0,0.0,1.0,0.125,0.125,0.12,0.12,1906100.0
2017-09-14,0.12,0.125,0.12,0.125,2170000.0,0.0,1.0,0.12,0.125,0.12,0.125,2170000.0
2017-09-13,0.125,0.13,0.12,0.12,1380500.0,0.0,1.0,0.125,0.13,0.12,0.12,1380500.0
2017-09-12,0.12,0.14,0.11,0.13,50139100.0,0.0,1.0,0.12,0.14,0.11,0.13,50139100.0
2017-09-11,0.035,0.035,0.03,0.03,11230000.0,0.0,1.0,0.035,0.035,0.03,0.03,11230000.0
2017-09-08,0.03,0.035,0.03,0.035,6588600.0,0.0,1.0,0.03,0.035,0.03,0.035,6588600.0
2017-09-07,0.03,0.03,0.025,0.03,9429200.0,0.0,1.0,0.03,0.03,0.025,0.03,9429200.0
2017-09-06,0.025,0.03,0.025,0.025,2892200.0,0.0,1.0,0.025,0.03,0.025,0.025,2892200.0
2017-09-05,0.03,0.03,0.025,0.03,4130000.0,0.0,1.0,0.03,0.03,0.025,0.03,4130000.0
2017-08-30,0.03,0.03,0.025,0.03,9062700.0,0.0,1.0,0.03,0.03,0.025,0.03,9062700.0
2017-08-29,0.035,0.035,0.03,0.03,597900.0,0.0,1.0,0.035,0.035,0.03,0.03,597900.0
2017-08-28,0.03,0.035,0.03,0.03,1434500.0,0.0,1.0,0.03,0.035,0.03,0.03,1434500.0
2017-08-25,0.03,0.035,0.03,0.03,4562700.0,0.0,1.0,0.03,0.035,0.03,0.03,4562700.0
2017-08-24,0.0,0.03,0.025,0.03,765900.0,0.0,1.0,0.0,0.03,0.025,0.03,765900.0
2017-08-23,0.025,0.03,0.025,0.025,238100.0,0.0,1.0,0.025,0.03,0.025,0.025,238100.0
2017-08-22,0.025,0.03,0.025,0.03,186500.0,0.0,1.0,0.025,0.03,0.025,0.03,186500.0
2017-08-21,0.03,0.03,0.03,0.03,3933300.0,0.0,1.0,0.03,0.03,0.03,0.03,3933300.0
2017-08-18,0.03,0.03,0.025,0.03,721000.0,0.0,1.0,0.03,0.03,0.025,0.03,721000.0
2017-08-17,0.03,0.03,0.025,0.03,704000.0,0.0,1.0,0.03,0.03,0.025,0.03,704000.0
2017-08-16,0.03,0.03,0.025,0.03,1877000.0,0.0,1.0,0.03,0.03,0.025,0.03,1877000.0
2017-08-15,0.03,0.03,0.025,0.03,1680400.0,0.0,1.0,0.03,0.03,0.025,0.03,1680400.0
2017-08-14,0.025,0.03,0.025,0.03,1212100.0,0.0,1.0,0.025,0.03,0.025,0.03,1212100.0
2017-08-11,0.03,0.03,0.025,0.025,1954400.0,0.0,1.0,0.03,0.03,0.025,0.025,1954400.0
2017-08-10,0.0,0.03,0.03,0.03,2746300.0,0.0,1.0,0.0,0.03,0.03,0.03,2746300.0
2017-08-09,0.03,0.03,0.03,0.03,1457400.0,0.0,1.0,0.03,0.03,0.03,0.03,1457400.0
2017-08-08,0.03,0.03,0.025,0.03,13442100.0,0.0,1.0,0.03,0.03,0.025,0.03,13442100.0
2017-08-07,0.035,0.035,0.03,0.03,3476000.0,0.0,1.0,0.035,0.035,0.03,0.03,3476000.0
2017-08-04,0.03,0.035,0.03,0.03,4295700.0,0.0,1.0,0.03,0.035,0.03,0.03,4295700.0
