RESULT_COUNT: 2553,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.19,0.19,0.19,0.19,151000.0,0.0,1.0,0.19,0.19,0.19,0.19,151000.0
2017-09-19,0.195,0.195,0.19,0.19,708200.0,0.0,1.0,0.195,0.195,0.19,0.19,708200.0
2017-09-18,0.195,0.205,0.19,0.195,1392700.0,0.0,1.0,0.195,0.205,0.19,0.195,1392700.0
2017-09-15,0.0,0.195,0.195,0.195,202000.0,0.0,1.0,0.0,0.195,0.195,0.195,202000.0
2017-09-14,0.195,0.195,0.195,0.195,1123000.0,0.0,1.0,0.195,0.195,0.195,0.195,1123000.0
2017-09-13,0.195,0.205,0.19,0.195,1684700.0,0.0,1.0,0.195,0.205,0.19,0.195,1684700.0
2017-09-12,0.19,0.195,0.19,0.195,934100.0,0.0,1.0,0.19,0.195,0.19,0.195,934100.0
2017-09-11,0.185,0.19,0.185,0.19,804600.0,0.0,1.0,0.185,0.19,0.185,0.19,804600.0
2017-09-08,0.19,0.195,0.185,0.19,2210600.0,0.0,1.0,0.19,0.195,0.185,0.19,2210600.0
2017-09-07,0.195,0.2,0.19,0.195,940000.0,0.0,1.0,0.195,0.2,0.19,0.195,940000.0
2017-09-06,0.0,0.2,0.19,0.195,610800.0,0.0,1.0,0.0,0.2,0.19,0.195,610800.0
2017-09-05,0.195,0.195,0.19,0.19,131500.0,0.0,1.0,0.195,0.195,0.19,0.19,131500.0
2017-08-30,0.185,0.2,0.185,0.2,1653000.0,0.0,1.0,0.185,0.2,0.185,0.2,1653000.0
2017-08-29,0.185,0.19,0.185,0.185,749000.0,0.0,1.0,0.185,0.19,0.185,0.185,749000.0
2017-08-28,0.19,0.2,0.185,0.185,943600.0,0.0,1.0,0.19,0.2,0.185,0.185,943600.0
2017-08-25,0.2,0.2,0.19,0.19,425000.0,0.0,1.0,0.2,0.2,0.19,0.19,425000.0
2017-08-24,0.0,0.205,0.195,0.2,922700.0,0.0,1.0,0.0,0.205,0.195,0.2,922700.0
2017-08-23,0.0,0.2,0.19,0.195,687700.0,0.0,1.0,0.0,0.2,0.19,0.195,687700.0
2017-08-22,0.195,0.195,0.195,0.195,480000.0,0.0,1.0,0.195,0.195,0.195,0.195,480000.0
2017-08-21,0.2,0.205,0.195,0.195,354500.0,0.0,1.0,0.2,0.205,0.195,0.195,354500.0
2017-08-18,0.0,0.205,0.19,0.2,1571100.0,0.0,1.0,0.0,0.205,0.19,0.2,1571100.0
2017-08-17,0.2,0.2,0.195,0.195,566000.0,0.0,1.0,0.2,0.2,0.195,0.195,566000.0
2017-08-16,0.185,0.205,0.185,0.2,2626400.0,0.0,1.0,0.185,0.205,0.185,0.2,2626400.0
2017-08-15,0.185,0.185,0.18,0.18,781500.0,0.0,1.0,0.185,0.185,0.18,0.18,781500.0
2017-08-14,0.185,0.19,0.18,0.185,2039000.0,0.0,1.0,0.185,0.19,0.18,0.185,2039000.0
2017-08-11,0.19,0.19,0.175,0.18,2182100.0,0.0,1.0,0.19,0.19,0.175,0.18,2182100.0
2017-08-10,0.195,0.2,0.185,0.195,888100.0,0.0,1.0,0.195,0.2,0.185,0.195,888100.0
2017-08-09,0.2,0.2,0.195,0.195,625600.0,0.0,1.0,0.2,0.2,0.195,0.195,625600.0
2017-08-08,0.205,0.205,0.195,0.2,2210100.0,0.0,1.0,0.205,0.205,0.195,0.2,2210100.0
2017-08-07,0.205,0.21,0.205,0.205,1066700.0,0.0,1.0,0.205,0.21,0.205,0.205,1066700.0
2017-08-04,0.205,0.21,0.205,0.205,862900.0,0.0,1.0,0.205,0.21,0.205,0.205,862900.0
2017-08-03,0.21,0.22,0.2,0.2,2128100.0,0.0,1.0,0.21,0.22,0.2,0.2,2128100.0
2017-08-02,0.21,0.22,0.21,0.215,1137400.0,0.0,1.0,0.21,0.22,0.21,0.215,1137400.0
2017-08-01,0.205,0.22,0.205,0.21,1799200.0,0.0,1.0,0.205,0.22,0.205,0.21,1799200.0
2017-07-31,0.225,0.225,0.2,0.21,1396700.0,0.0,1.0,0.225,0.225,0.2,0.21,1396700.0
2017-07-28,0.23,0.23,0.22,0.22,3074800.0,0.0,1.0,0.23,0.23,0.22,0.22,3074800.0
2017-07-27,0.225,0.235,0.225,0.23,1874400.0,0.0,1.0,0.225,0.235,0.225,0.23,1874400.0
2017-07-26,0.0,0.225,0.225,0.225,542000.0,0.0,1.0,0.0,0.225,0.225,0.225,542000.0
2017-07-25,0.23,0.235,0.225,0.23,1265300.0,0.0,1.0,0.23,0.235,0.225,0.23,1265300.0
2017-07-24,0.235,0.25,0.23,0.235,6474800.0,0.0,1.0,0.235,0.25,0.23,0.235,6474800.0
2017-07-21,0.23,0.235,0.225,0.235,1421100.0,0.0,1.0,0.23,0.235,0.225,0.235,1421100.0
2017-07-20,0.23,0.235,0.225,0.225,1954400.0,0.0,1.0,0.23,0.235,0.225,0.225,1954400.0
2017-07-19,0.24,0.245,0.23,0.235,5971400.0,0.0,1.0,0.24,0.245,0.23,0.235,5971400.0
2017-07-18,0.215,0.245,0.215,0.235,13042800.0,0.0,1.0,0.215,0.245,0.215,0.235,13042800.0
