RESULT_COUNT: 2602,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.095,0.1,0.09,0.09,9173900.0,0.0,1.0,0.095,0.1,0.09,0.09,9173900.0
2017-09-19,0.1,0.105,0.095,0.095,5048800.0,0.0,1.0,0.1,0.105,0.095,0.095,5048800.0
2017-09-18,0.1,0.105,0.095,0.1,14122700.0,0.0,1.0,0.1,0.105,0.095,0.1,14122700.0
2017-09-15,0.1,0.105,0.095,0.1,3706000.0,0.0,1.0,0.1,0.105,0.095,0.1,3706000.0
2017-09-14,0.1,0.105,0.095,0.1,24112700.0,0.0,1.0,0.1,0.105,0.095,0.1,24112700.0
2017-09-13,0.105,0.11,0.1,0.1,17249100.0,0.0,1.0,0.105,0.11,0.1,0.1,17249100.0
2017-09-12,0.1,0.13,0.1,0.105,97425300.0,0.0,1.0,0.1,0.13,0.1,0.105,97425300.0
2017-09-11,0.105,0.105,0.1,0.1,6547900.0,0.0,1.0,0.105,0.105,0.1,0.1,6547900.0
2017-09-08,0.11,0.11,0.1,0.1,32768300.0,0.0,1.0,0.11,0.11,0.1,0.1,32768300.0
2017-09-07,0.095,0.105,0.095,0.105,12622000.0,0.0,1.0,0.095,0.105,0.095,0.105,12622000.0
2017-09-06,0.09,0.095,0.09,0.095,3818400.0,0.0,1.0,0.09,0.095,0.09,0.095,3818400.0
2017-09-05,0.095,0.095,0.085,0.095,6187400.0,0.0,1.0,0.095,0.095,0.085,0.095,6187400.0
2017-08-30,0.095,0.1,0.095,0.095,6173400.0,0.0,1.0,0.095,0.1,0.095,0.095,6173400.0
2017-08-29,0.095,0.1,0.095,0.095,4252200.0,0.0,1.0,0.095,0.1,0.095,0.095,4252200.0
2017-08-28,0.09,0.1,0.09,0.095,30502500.0,0.0,1.0,0.09,0.1,0.09,0.095,30502500.0
2017-08-25,0.095,0.105,0.09,0.1,37723900.0,0.0,1.0,0.095,0.105,0.09,0.1,37723900.0
2017-08-24,0.0,0.095,0.085,0.095,12915900.0,0.0,1.0,0.0,0.095,0.085,0.095,12915900.0
2017-08-23,0.085,0.09,0.085,0.09,1616300.0,0.0,1.0,0.085,0.09,0.085,0.09,1616300.0
2017-08-22,0.09,0.09,0.08,0.085,2411800.0,0.0,1.0,0.09,0.09,0.08,0.085,2411800.0
2017-08-21,0.085,0.09,0.08,0.085,15381400.0,0.0,1.0,0.085,0.09,0.08,0.085,15381400.0
2017-08-18,0.08,0.085,0.08,0.08,561300.0,0.0,1.0,0.08,0.085,0.08,0.08,561300.0
2017-08-17,0.08,0.085,0.08,0.08,477800.0,0.0,1.0,0.08,0.085,0.08,0.08,477800.0
2017-08-16,0.085,0.085,0.08,0.08,322500.0,0.0,1.0,0.085,0.085,0.08,0.08,322500.0
2017-08-15,0.085,0.085,0.08,0.085,1076800.0,0.0,1.0,0.085,0.085,0.08,0.085,1076800.0
2017-08-14,0.08,0.08,0.075,0.08,1905800.0,0.0,1.0,0.08,0.08,0.075,0.08,1905800.0
2017-08-11,0.08,0.08,0.08,0.08,200000.0,0.0,1.0,0.08,0.08,0.08,0.08,200000.0
2017-08-10,0.08,0.085,0.075,0.085,2493900.0,0.0,1.0,0.08,0.085,0.075,0.085,2493900.0
2017-08-09,0.08,0.08,0.075,0.075,397100.0,0.0,1.0,0.08,0.08,0.075,0.075,397100.0
2017-08-08,0.08,0.08,0.075,0.08,934700.0,0.0,1.0,0.08,0.08,0.075,0.08,934700.0
2017-08-07,0.08,0.08,0.075,0.08,2901200.0,0.0,1.0,0.08,0.08,0.075,0.08,2901200.0
2017-08-04,0.085,0.085,0.08,0.085,1886800.0,0.0,1.0,0.085,0.085,0.08,0.085,1886800.0
2017-08-03,0.085,0.085,0.08,0.08,1150600.0,0.0,1.0,0.085,0.085,0.08,0.08,1150600.0
2017-08-02,0.085,0.085,0.08,0.08,901000.0,0.0,1.0,0.085,0.085,0.08,0.08,901000.0
2017-08-01,0.085,0.085,0.08,0.085,948300.0,0.0,1.0,0.085,0.085,0.08,0.085,948300.0
2017-07-31,0.08,0.08,0.08,0.08,1211000.0,0.0,1.0,0.08,0.08,0.08,0.08,1211000.0
2017-07-28,0.08,0.085,0.08,0.085,1143200.0,0.0,1.0,0.08,0.085,0.08,0.085,1143200.0
2017-07-27,0.08,0.085,0.08,0.085,237100.0,0.0,1.0,0.08,0.085,0.08,0.085,237100.0
2017-07-26,0.085,0.085,0.085,0.085,101000.0,0.0,1.0,0.085,0.085,0.085,0.085,101000.0
2017-07-25,0.085,0.085,0.08,0.085,1763000.0,0.0,1.0,0.085,0.085,0.08,0.085,1763000.0
2017-07-24,0.085,0.085,0.08,0.085,237000.0,0.0,1.0,0.085,0.085,0.08,0.085,237000.0
2017-07-21,0.085,0.085,0.08,0.08,461800.0,0.0,1.0,0.085,0.085,0.08,0.08,461800.0
2017-07-20,0.085,0.085,0.08,0.085,740400.0,0.0,1.0,0.085,0.085,0.08,0.085,740400.0
2017-07-19,0.085,0.09,0.085,0.085,2045400.0,0.0,1.0,0.085,0.09,0.085,0.085,2045400.0
2017-07-18,0.09,0.09,0.085,0.085,6054700.0,0.0,1.0,0.09,0.09,0.085,0.085,6054700.0
2017-07-17,0.08,0.09,0.08,0.085,12981800.0,0.0,1.0,0.08,0.09,0.08,0.085,12981800.0
2017-07-14,0.085,0.085,0.08,0.08,468100.0,0.0,1.0,0.085,0.085,0.08,0.08,468100.0
2017-07-13,0.085,0.085,0.08,0.08,419100.0,0.0,1.0,0.085,0.085,0.08,0.08,419100.0
2017-07-12,0.08,0.08,0.08,0.08,902300.0,0.0,1.0,0.08,0.08,0.08,0.08,902300.0
2017-07-11,0.08,0.085,0.075,0.08,424600.0,0.0,1.0,0.08,0.085,0.075,0.08,424600.0
2017-07-10,0.08,0.085,0.08,0.08,1679100.0,0.0,1.0,0.08,0.085,0.08,0.08,1679100.0
2017-07-07,0.08,0.08,0.075,0.075,763100.0,0.0,1.0,0.08,0.08,0.075,0.075,763100.0
2017-07-06,0.085,0.085,0.08,0.085,1051200.0,0.0,1.0,0.085,0.085,0.08,0.085,1051200.0
2017-07-05,0.08,0.085,0.08,0.085,378700.0,0.0,1.0,0.08,0.085,0.08,0.085,378700.0
2017-07-04,0.085,0.085,0.08,0.08,836200.0,0.0,1.0,0.085,0.085,0.08,0.08,836200.0
2017-07-03,0.08,0.085,0.08,0.085,1677400.0,0.0,1.0,0.08,0.085,0.08,0.085,1677400.0
2017-06-30,0.075,0.08,0.075,0.08,287000.0,0.0,1.0,0.075,0.08,0.075,0.08,287000.0
2017-06-29,0.08,0.085,0.075,0.075,150400.0,0.0,1.0,0.08,0.085,0.075,0.075,150400.0
2017-06-28,0.0,0.085,0.075,0.08,304200.0,0.0,1.0,0.0,0.085,0.075,0.08,304200.0
2017-06-23,0.08,0.085,0.08,0.08,1148400.0,0.0,1.0,0.08,0.09,0.08,0.08,1148400.0
2017-06-22,0.075,0.08,0.075,0.08,697900.0,0.0,1.0,0.08,0.08,0.08,0.08,697900.0
2017-06-21,0.08,0.08,0.07,0.075,3094800.0,0.0,1.0,0.08,0.08,0.07,0.08,3094800.0
2017-06-20,0.08,0.08,0.075,0.08,1830000.0,0.0,1.0,0.08,0.08,0.08,0.08,1830000.0
2017-06-19,0.08,0.085,0.08,0.08,4564800.0,0.0,1.0,0.08,0.09,0.08,0.08,4564800.0
2017-06-16,0.085,0.085,0.08,0.08,456300.0,0.0,1.0,0.09,0.09,0.08,0.08,456300.0
2017-06-15,0.08,0.085,0.08,0.085,604400.0,0.0,1.0,0.08,0.09,0.08,0.09,604400.0
2017-06-14,0.085,0.085,0.08,0.085,353300.0,0.0,1.0,0.09,0.09,0.08,0.09,353300.0
2017-06-13,0.085,0.085,0.08,0.085,510000.0,0.0,1.0,0.09,0.09,0.08,0.09,510000.0
2017-06-09,0.085,0.09,0.085,0.09,715300.0,0.0,1.0,0.09,0.09,0.09,0.09,715300.0
2017-06-08,0.085,0.09,0.085,0.09,954900.0,0.0,1.0,0.09,0.09,0.09,0.09,954900.0
2017-06-07,0.085,0.085,0.085,0.085,1137100.0,0.0,1.0,0.09,0.09,0.09,0.09,1137100.0
