RESULT_COUNT: 2449,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.205,0.21,0.2,0.21,30113200.0,0.0,1.0,0.205,0.21,0.2,0.21,30113200.0
2017-09-19,0.2,0.205,0.2,0.2,14886600.0,0.0,1.0,0.2,0.205,0.2,0.2,14886600.0
2017-09-18,0.195,0.2,0.195,0.2,10932200.0,0.0,1.0,0.195,0.2,0.195,0.2,10932200.0
2017-09-15,0.2,0.205,0.195,0.195,10456400.0,0.0,1.0,0.2,0.205,0.195,0.195,10456400.0
2017-09-14,0.2,0.215,0.2,0.205,81300200.0,0.0,1.0,0.2,0.215,0.2,0.205,81300200.0
2017-09-13,0.19,0.195,0.19,0.195,668600.0,0.0,1.0,0.19,0.195,0.19,0.195,668600.0
2017-09-12,0.2,0.2,0.195,0.2,3960200.0,0.0,1.0,0.2,0.2,0.195,0.2,3960200.0
2017-09-11,0.0,0.2,0.19,0.2,11796400.0,0.0,1.0,0.0,0.2,0.19,0.2,11796400.0
2017-09-08,0.0,0.185,0.185,0.185,46200.0,0.0,1.0,0.0,0.185,0.185,0.185,46200.0
2017-09-07,0.185,0.19,0.185,0.185,35000.0,0.0,1.0,0.185,0.19,0.185,0.185,35000.0
2017-09-06,0.19,0.19,0.19,0.19,705700.0,0.0,1.0,0.19,0.19,0.19,0.19,705700.0
2017-09-05,0.18,0.185,0.18,0.185,1734700.0,0.0,1.0,0.18,0.185,0.18,0.185,1734700.0
2017-08-30,0.18,0.185,0.18,0.18,1103200.0,0.0,1.0,0.18,0.185,0.18,0.18,1103200.0
2017-08-29,0.18,0.18,0.18,0.18,571700.0,0.0,1.0,0.18,0.18,0.18,0.18,571700.0
2017-08-28,0.18,0.185,0.18,0.18,423700.0,0.0,1.0,0.18,0.185,0.18,0.18,423700.0
2017-08-25,0.185,0.185,0.18,0.185,23200.0,0.0,1.0,0.185,0.185,0.18,0.185,23200.0
2017-08-24,0.0,0.18,0.18,0.18,255500.0,0.0,1.0,0.0,0.18,0.18,0.18,255500.0
2017-08-23,0.0,0.18,0.18,0.18,25000.0,0.0,1.0,0.0,0.18,0.18,0.18,25000.0
2017-08-22,0.18,0.18,0.18,0.18,145500.0,0.0,1.0,0.18,0.18,0.18,0.18,145500.0
2017-08-21,0.0,0.18,0.18,0.18,199500.0,0.0,1.0,0.0,0.18,0.18,0.18,199500.0
2017-08-18,0.18,0.18,0.18,0.18,427300.0,0.0,1.0,0.18,0.18,0.18,0.18,427300.0
2017-08-17,0.18,0.185,0.18,0.18,334200.0,0.0,1.0,0.18,0.185,0.18,0.18,334200.0
2017-08-16,0.18,0.185,0.18,0.185,1099400.0,0.0,1.0,0.18,0.185,0.18,0.185,1099400.0
2017-08-15,0.18,0.18,0.18,0.18,67500.0,0.0,1.0,0.18,0.18,0.18,0.18,67500.0
2017-08-14,0.18,0.185,0.18,0.185,136400.0,0.0,1.0,0.18,0.185,0.18,0.185,136400.0
2017-08-11,0.18,0.18,0.18,0.18,620300.0,0.0,1.0,0.18,0.18,0.18,0.18,620300.0
2017-08-10,0.185,0.185,0.18,0.185,1695400.0,0.0,1.0,0.185,0.185,0.18,0.185,1695400.0
2017-08-09,0.0,0.185,0.18,0.185,352800.0,0.0,1.0,0.0,0.185,0.18,0.185,352800.0
2017-08-08,0.19,0.19,0.18,0.19,760900.0,0.0,1.0,0.19,0.19,0.18,0.19,760900.0
2017-08-07,0.185,0.19,0.18,0.185,2253500.0,0.0,1.0,0.185,0.19,0.18,0.185,2253500.0
2017-08-04,0.185,0.185,0.185,0.185,497500.0,0.0,1.0,0.185,0.185,0.185,0.185,497500.0
2017-08-03,0.0,0.19,0.185,0.185,663500.0,0.0,1.0,0.0,0.19,0.185,0.185,663500.0
2017-08-02,0.195,0.195,0.185,0.19,1477200.0,0.0,1.0,0.195,0.195,0.185,0.19,1477200.0
2017-08-01,0.2,0.2,0.19,0.195,3532000.0,0.0,1.0,0.2,0.2,0.19,0.195,3532000.0
2017-07-31,0.2,0.2,0.195,0.2,896600.0,0.0,1.0,0.2,0.2,0.195,0.2,896600.0
2017-07-28,0.205,0.205,0.2,0.205,166100.0,0.0,1.0,0.205,0.205,0.2,0.205,166100.0
2017-07-27,0.2,0.21,0.2,0.2,1446100.0,0.0,1.0,0.2,0.21,0.2,0.2,1446100.0
2017-07-26,0.205,0.205,0.2,0.2,233700.0,0.0,1.0,0.205,0.205,0.2,0.2,233700.0
2017-07-25,0.205,0.205,0.2,0.2,324300.0,0.0,1.0,0.205,0.205,0.2,0.2,324300.0
2017-07-24,0.205,0.205,0.205,0.205,442900.0,0.0,1.0,0.205,0.205,0.205,0.205,442900.0
2017-07-21,0.205,0.21,0.205,0.205,1091200.0,0.0,1.0,0.205,0.21,0.205,0.205,1091200.0
2017-07-20,0.21,0.215,0.205,0.215,683200.0,0.0,1.0,0.21,0.215,0.205,0.215,683200.0
2017-07-19,0.21,0.215,0.205,0.215,1761800.0,0.0,1.0,0.21,0.215,0.205,0.215,1761800.0
2017-07-18,0.225,0.225,0.215,0.22,505200.0,0.0,1.0,0.225,0.225,0.215,0.22,505200.0
2017-07-17,0.23,0.235,0.22,0.225,3074600.0,0.0,1.0,0.23,0.235,0.22,0.225,3074600.0
2017-07-14,0.2,0.23,0.2,0.225,6143500.0,0.0,1.0,0.2,0.23,0.2,0.225,6143500.0
2017-07-13,0.205,0.205,0.2,0.2,887900.0,0.0,1.0,0.205,0.205,0.2,0.2,887900.0
2017-07-12,0.205,0.205,0.2,0.2,1133000.0,0.0,1.0,0.205,0.205,0.2,0.2,1133000.0
2017-07-11,0.205,0.205,0.2,0.205,1197500.0,0.0,1.0,0.205,0.205,0.2,0.205,1197500.0
2017-07-10,0.195,0.21,0.195,0.2,3626300.0,0.0,1.0,0.195,0.21,0.195,0.2,3626300.0
2017-07-07,0.05,0.055,0.05,0.05,13127900.0,0.0,1.0,0.05,0.055,0.05,0.05,13127900.0
2017-07-06,0.05,0.055,0.05,0.05,2192000.0,0.0,1.0,0.05,0.055,0.05,0.05,2192000.0
2017-07-05,0.05,0.055,0.05,0.055,3488100.0,0.0,1.0,0.05,0.055,0.05,0.055,3488100.0
2017-07-04,0.05,0.055,0.05,0.055,755000.0,0.0,1.0,0.05,0.055,0.05,0.055,755000.0
2017-07-03,0.05,0.05,0.05,0.05,8430300.0,0.0,1.0,0.05,0.05,0.05,0.05,8430300.0
2017-06-30,0.05,0.055,0.05,0.055,19640700.0,0.0,1.0,0.05,0.055,0.05,0.055,19640700.0
2017-06-29,0.055,0.055,0.05,0.055,12435600.0,0.0,1.0,0.055,0.055,0.05,0.055,12435600.0
2017-06-28,0.0,0.05,0.05,0.05,180000.0,0.0,1.0,0.0,0.05,0.05,0.05,180000.0
2017-06-23,0.0,0.05,0.05,0.05,180000.0,0.0,1.0,0.0,0.05,0.05,0.05,180000.0
2017-06-22,0.05,0.05,0.05,0.05,40000.0,0.0,1.0,0.05,0.05,0.05,0.05,40000.0
2017-06-21,0.055,0.055,0.05,0.055,335000.0,0.0,1.0,0.06,0.06,0.05,0.06,335000.0
2017-06-20,0.05,0.05,0.05,0.05,790000.0,0.0,1.0,0.05,0.05,0.05,0.05,790000.0
2017-06-19,0.05,0.05,0.05,0.05,147000.0,0.0,1.0,0.05,0.05,0.05,0.05,147000.0
2017-06-16,0.05,0.05,0.05,0.05,382000.0,0.0,1.0,0.05,0.05,0.05,0.05,382000.0
2017-06-15,0.055,0.055,0.055,0.055,710000.0,0.0,1.0,0.06,0.06,0.06,0.06,710000.0
2017-06-14,0.05,0.06,0.05,0.06,13395800.0,0.0,1.0,0.05,0.06,0.05,0.06,13395800.0
2017-06-13,0.05,0.05,0.05,0.05,520000.0,0.0,1.0,0.05,0.05,0.05,0.05,520000.0
2017-06-09,0.05,0.05,0.05,0.05,950000.0,0.0,1.0,0.05,0.05,0.05,0.05,950000.0
