RESULT_COUNT: 2571,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.055,0.06,0.055,0.055,12095900.0,0.0,1.0,0.055,0.06,0.055,0.055,12095900.0
2017-09-19,0.055,0.06,0.05,0.055,10074000.0,0.0,1.0,0.055,0.06,0.05,0.055,10074000.0
2017-09-18,0.055,0.06,0.05,0.055,10181900.0,0.0,1.0,0.055,0.06,0.05,0.055,10181900.0
2017-09-15,0.055,0.06,0.05,0.055,14141400.0,0.0,1.0,0.055,0.06,0.05,0.055,14141400.0
2017-09-14,0.055,0.06,0.05,0.055,31213300.0,0.0,1.0,0.055,0.06,0.05,0.055,31213300.0
2017-09-13,0.055,0.06,0.05,0.055,39245300.0,0.0,1.0,0.055,0.06,0.05,0.055,39245300.0
2017-09-12,0.05,0.06,0.045,0.05,113699200.0,0.0,1.0,0.05,0.06,0.045,0.05,113699200.0
2017-09-11,0.045,0.05,0.045,0.05,2456300.0,0.0,1.0,0.045,0.05,0.045,0.05,2456300.0
2017-09-08,0.045,0.05,0.045,0.045,3413300.0,0.0,1.0,0.045,0.05,0.045,0.045,3413300.0
2017-09-07,0.045,0.05,0.045,0.045,3970200.0,0.0,1.0,0.045,0.05,0.045,0.045,3970200.0
2017-09-06,0.045,0.05,0.045,0.045,10251500.0,0.0,1.0,0.045,0.05,0.045,0.045,10251500.0
2017-09-05,0.045,0.05,0.045,0.05,4578600.0,0.0,1.0,0.045,0.05,0.045,0.05,4578600.0
2017-08-30,0.045,0.05,0.045,0.045,7685700.0,0.0,1.0,0.045,0.05,0.045,0.045,7685700.0
2017-08-29,0.045,0.05,0.04,0.05,5196400.0,0.0,1.0,0.045,0.05,0.04,0.05,5196400.0
2017-08-28,0.045,0.05,0.045,0.045,4550200.0,0.0,1.0,0.045,0.05,0.045,0.045,4550200.0
2017-08-25,0.045,0.05,0.04,0.05,14359500.0,0.0,1.0,0.045,0.05,0.04,0.05,14359500.0
2017-08-24,0.0,0.05,0.045,0.045,10370400.0,0.0,1.0,0.0,0.05,0.045,0.045,10370400.0
2017-08-23,0.045,0.045,0.04,0.045,4401200.0,0.0,1.0,0.045,0.045,0.04,0.045,4401200.0
2017-08-22,0.04,0.045,0.04,0.045,5055600.0,0.0,1.0,0.04,0.045,0.04,0.045,5055600.0
2017-08-21,0.045,0.045,0.04,0.04,1294000.0,0.0,1.0,0.045,0.045,0.04,0.04,1294000.0
2017-08-18,0.045,0.045,0.04,0.04,860500.0,0.0,1.0,0.045,0.045,0.04,0.04,860500.0
