RESULT_COUNT: 2617,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.08,0.08,0.08,0.08,783000.0,0.0,1.0,0.08,0.08,0.08,0.08,783000.0
2017-09-19,0.08,0.08,0.08,0.08,367500.0,0.0,1.0,0.08,0.08,0.08,0.08,367500.0
2017-09-18,0.08,0.08,0.08,0.08,643000.0,0.0,1.0,0.08,0.08,0.08,0.08,643000.0
2017-09-15,0.085,0.085,0.08,0.08,1392600.0,0.0,1.0,0.085,0.085,0.08,0.08,1392600.0
2017-09-14,0.0,0.085,0.085,0.085,1985000.0,0.0,1.0,0.0,0.085,0.085,0.085,1985000.0
2017-09-13,0.085,0.09,0.085,0.085,2030000.0,0.0,1.0,0.085,0.09,0.085,0.085,2030000.0
2017-09-12,0.085,0.095,0.085,0.09,8946800.0,0.0,1.0,0.085,0.095,0.085,0.09,8946800.0
2017-09-11,0.09,0.09,0.085,0.085,1544700.0,0.0,1.0,0.09,0.09,0.085,0.085,1544700.0
2017-09-08,0.085,0.085,0.085,0.085,820300.0,0.0,1.0,0.085,0.085,0.085,0.085,820300.0
2017-09-07,0.085,0.085,0.08,0.085,1147000.0,0.0,1.0,0.085,0.085,0.08,0.085,1147000.0
2017-09-06,0.08,0.09,0.08,0.085,2596400.0,0.0,1.0,0.08,0.09,0.08,0.085,2596400.0
2017-09-05,0.08,0.08,0.075,0.075,931600.0,0.0,1.0,0.08,0.08,0.075,0.075,931600.0
2017-08-30,0.08,0.08,0.08,0.08,931600.0,0.0,1.0,0.08,0.08,0.08,0.08,931600.0
2017-08-29,0.0,0.075,0.075,0.075,104200.0,0.0,1.0,0.0,0.075,0.075,0.075,104200.0
2017-08-28,0.0,0.08,0.075,0.075,135000.0,0.0,1.0,0.0,0.08,0.075,0.075,135000.0
