RESULT_COUNT: 2293,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.0,0.0,0.0,0.41,0.0,0.0,1.0,0.0,0.0,0.0,0.41,0.0
2017-09-19,0.0,0.0,0.0,0.41,0.0,0.0,1.0,0.0,0.0,0.0,0.41,0.0
2017-09-18,0.0,0.41,0.41,0.41,1000.0,0.0,1.0,0.0,0.41,0.41,0.41,1000.0
2017-09-15,0.0,0.41,0.41,0.41,4000.0,0.0,1.0,0.0,0.41,0.41,0.41,4000.0
2017-09-14,0.0,0.0,0.0,0.42,0.0,0.0,1.0,0.0,0.0,0.0,0.42,0.0
2017-09-13,0.42,0.42,0.42,0.42,300.0,0.0,1.0,0.42,0.42,0.42,0.42,300.0
2017-09-12,0.42,0.42,0.37,0.37,1000.0,0.0,1.0,0.42,0.42,0.37,0.37,1000.0
2017-09-11,0.0,0.355,0.35,0.35,70000.0,0.0,1.0,0.0,0.355,0.35,0.35,70000.0
2017-09-08,0.0,0.0,0.0,0.415,0.0,0.0,1.0,0.0,0.0,0.0,0.415,0.0
2017-09-07,0.0,0.0,0.0,0.415,0.0,0.0,1.0,0.0,0.0,0.0,0.415,0.0
2017-09-06,0.0,0.42,0.37,0.415,30000.0,0.0,1.0,0.0,0.42,0.37,0.415,30000.0
2017-09-05,0.0,0.435,0.435,0.435,10000.0,0.0,1.0,0.0,0.435,0.435,0.435,10000.0
2017-08-30,0.0,0.45,0.45,0.45,6000.0,0.0,1.0,0.0,0.45,0.45,0.45,6000.0
2017-08-29,0.0,0.0,0.0,0.38,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.0
2017-08-28,0.0,0.0,0.0,0.38,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.0
2017-08-25,0.0,0.0,0.0,0.38,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.0
2017-08-24,0.0,0.38,0.38,0.38,2100.0,0.0,1.0,0.0,0.38,0.38,0.38,2100.0
2017-08-23,0.0,0.0,0.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.35,0.0
2017-08-22,0.0,0.0,0.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.35,0.0
2017-08-21,0.0,0.0,0.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.35,0.0
2017-08-18,0.0,0.35,0.35,0.35,3000.0,0.0,1.0,0.0,0.35,0.35,0.35,3000.0
2017-08-17,0.0,0.0,0.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.35,0.0
2017-08-16,0.0,0.35,0.28,0.35,5000.0,0.0,1.0,0.0,0.35,0.28,0.35,5000.0
2017-08-15,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-14,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-11,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-10,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-09,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-08,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-07,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-04,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-03,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-02,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-08-01,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0
2017-07-31,0.0,0.3,0.3,0.3,1000.0,0.0,1.0,0.0,0.3,0.3,0.3,1000.0
2017-07-28,0.0,0.3,0.3,0.3,1000.0,0.0,1.0,0.0,0.3,0.3,0.3,1000.0
2017-07-27,0.0,0.0,0.0,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.32,0.0
