RESULT_COUNT: 2593,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.22,0.225,0.205,0.21,9669900.0,0.0,1.0,0.22,0.225,0.205,0.21,9669900.0
2017-09-19,0.245,0.245,0.22,0.22,16242700.0,0.0,1.0,0.245,0.245,0.22,0.22,16242700.0
2017-09-18,0.24,0.25,0.23,0.24,14646100.0,0.0,1.0,0.24,0.25,0.23,0.24,14646100.0
2017-09-15,0.25,0.25,0.23,0.235,11807600.0,0.0,1.0,0.25,0.25,0.23,0.235,11807600.0
2017-09-14,0.255,0.26,0.245,0.245,13246400.0,0.0,1.0,0.255,0.26,0.245,0.245,13246400.0
2017-09-13,0.24,0.255,0.24,0.25,24757200.0,0.0,1.0,0.24,0.255,0.24,0.25,24757200.0
2017-09-12,0.24,0.26,0.24,0.24,38351800.0,0.0,1.0,0.24,0.26,0.24,0.24,38351800.0
2017-09-11,0.235,0.245,0.215,0.23,40932600.0,0.0,1.0,0.235,0.245,0.215,0.23,40932600.0
2017-09-08,0.225,0.25,0.215,0.235,77429900.0,0.0,1.0,0.225,0.25,0.215,0.235,77429900.0
2017-09-07,0.185,0.23,0.17,0.22,89191800.0,0.0,1.0,0.185,0.23,0.17,0.22,89191800.0
2017-09-06,0.195,0.2,0.175,0.18,46222000.0,0.0,1.0,0.195,0.2,0.175,0.18,46222000.0
2017-09-05,0.15,0.215,0.15,0.2,119800300.0,0.0,1.0,0.15,0.215,0.15,0.2,119800300.0
2017-08-30,0.155,0.16,0.14,0.15,23711900.0,0.0,1.0,0.155,0.16,0.14,0.15,23711900.0
2017-08-29,0.145,0.16,0.13,0.155,29243900.0,0.0,1.0,0.145,0.16,0.13,0.155,29243900.0
2017-08-28,0.0,0.17,0.14,0.145,69088200.0,0.0,1.0,0.0,0.17,0.14,0.145,69088200.0
