RESULT_COUNT: 2454,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.0,0.27,0.265,0.265,265800.0,0.0,1.0,0.0,0.27,0.265,0.265,265800.0
2017-09-19,0.27,0.27,0.26,0.27,192000.0,0.0,1.0,0.27,0.27,0.26,0.27,192000.0
2017-09-18,0.0,0.27,0.265,0.27,388600.0,0.0,1.0,0.0,0.27,0.265,0.27,388600.0
2017-09-15,0.28,0.28,0.275,0.275,213800.0,0.0,1.0,0.28,0.28,0.275,0.275,213800.0
2017-09-14,0.28,0.29,0.28,0.28,353000.0,0.0,1.0,0.28,0.29,0.28,0.28,353000.0
2017-09-13,0.28,0.285,0.28,0.28,656800.0,0.0,1.0,0.28,0.285,0.28,0.28,656800.0
2017-09-12,0.275,0.28,0.275,0.28,674700.0,0.0,1.0,0.275,0.28,0.275,0.28,674700.0
2017-09-11,0.275,0.28,0.275,0.28,270200.0,0.0,1.0,0.275,0.28,0.275,0.28,270200.0
2017-09-08,0.28,0.285,0.275,0.28,300600.0,0.0,1.0,0.28,0.285,0.275,0.28,300600.0
2017-09-07,0.285,0.29,0.28,0.28,585500.0,0.0,1.0,0.285,0.29,0.28,0.28,585500.0
2017-09-06,0.285,0.295,0.28,0.28,509700.0,0.0,1.0,0.285,0.295,0.28,0.28,509700.0
2017-09-05,0.29,0.29,0.285,0.285,256700.0,0.0,1.0,0.29,0.29,0.285,0.285,256700.0
2017-08-30,0.0,0.295,0.29,0.29,257700.0,0.0,1.0,0.0,0.295,0.29,0.29,257700.0
2017-08-29,0.3,0.3,0.3,0.3,35000.0,0.0,1.0,0.3,0.3,0.3,0.3,35000.0
2017-08-28,0.295,0.315,0.295,0.3,1073900.0,0.0,1.0,0.295,0.315,0.295,0.3,1073900.0
2017-08-25,0.3,0.3,0.3,0.3,63000.0,0.0,1.0,0.3,0.3,0.3,0.3,63000.0
2017-08-24,0.0,0.305,0.285,0.305,1451400.0,0.0,1.0,0.0,0.305,0.285,0.305,1451400.0
2017-08-23,0.29,0.29,0.285,0.29,169400.0,0.0,1.0,0.29,0.29,0.285,0.29,169400.0
2017-08-22,0.29,0.3,0.29,0.29,369400.0,0.0,1.0,0.29,0.3,0.29,0.29,369400.0
2017-08-21,0.285,0.3,0.285,0.29,468200.0,0.0,1.0,0.285,0.3,0.285,0.29,468200.0
2017-08-18,0.28,0.3,0.28,0.285,569200.0,0.0,1.0,0.28,0.3,0.28,0.285,569200.0
2017-08-17,0.295,0.3,0.29,0.295,498200.0,0.0,1.0,0.295,0.3,0.29,0.295,498200.0
2017-08-16,0.285,0.3,0.285,0.29,831400.0,0.0,1.0,0.285,0.3,0.285,0.29,831400.0
2017-08-15,0.3,0.31,0.28,0.29,1473000.0,0.0,1.0,0.3,0.31,0.28,0.29,1473000.0
2017-08-14,0.275,0.3,0.275,0.29,578200.0,0.0,1.0,0.275,0.3,0.275,0.29,578200.0
2017-08-11,0.28,0.295,0.275,0.275,412500.0,0.0,1.0,0.28,0.295,0.275,0.275,412500.0
2017-08-10,0.0,0.3,0.285,0.3,199700.0,0.0,1.0,0.0,0.3,0.285,0.3,199700.0
2017-08-09,0.0,0.31,0.295,0.3,551600.0,0.0,1.0,0.0,0.31,0.295,0.3,551600.0
2017-08-08,0.31,0.31,0.29,0.3,862400.0,0.0,1.0,0.31,0.31,0.29,0.3,862400.0
2017-08-07,0.32,0.34,0.3,0.32,1548100.0,0.0,1.0,0.32,0.34,0.3,0.32,1548100.0
2017-08-04,0.35,0.355,0.335,0.34,248300.0,0.0,1.0,0.35,0.355,0.335,0.34,248300.0
2017-08-03,0.35,0.36,0.34,0.35,332600.0,0.0,1.0,0.35,0.36,0.34,0.35,332600.0
2017-08-02,0.34,0.365,0.34,0.355,1238800.0,0.0,1.0,0.34,0.365,0.34,0.355,1238800.0
2017-08-01,0.365,0.365,0.34,0.34,800800.0,0.0,1.0,0.365,0.365,0.34,0.34,800800.0
2017-07-31,0.385,0.385,0.355,0.365,445700.0,0.0,1.0,0.385,0.385,0.355,0.365,445700.0
2017-07-28,0.385,0.39,0.36,0.37,664500.0,0.0,1.0,0.385,0.39,0.36,0.37,664500.0
2017-07-27,0.36,0.395,0.36,0.385,2851400.0,0.0,1.0,0.36,0.395,0.36,0.385,2851400.0
2017-07-26,0.355,0.365,0.33,0.355,1953700.0,0.0,1.0,0.355,0.365,0.33,0.355,1953700.0
2017-07-25,0.375,0.395,0.355,0.355,1188100.0,0.0,1.0,0.375,0.395,0.355,0.355,1188100.0
2017-07-24,0.385,0.39,0.37,0.375,681900.0,0.0,1.0,0.385,0.39,0.37,0.375,681900.0
2017-07-21,0.415,0.42,0.39,0.39,1914000.0,0.0,1.0,0.415,0.42,0.39,0.39,1914000.0
2017-07-20,0.395,0.415,0.375,0.41,3167400.0,0.0,1.0,0.395,0.415,0.375,0.41,3167400.0
2017-07-19,0.395,0.43,0.375,0.395,5393200.0,0.0,1.0,0.395,0.43,0.375,0.395,5393200.0
2017-07-18,0.345,0.4,0.345,0.39,11086000.0,0.0,1.0,0.345,0.4,0.345,0.39,11086000.0
2017-07-17,0.35,0.355,0.34,0.34,1590400.0,0.0,1.0,0.35,0.355,0.34,0.34,1590400.0
2017-07-14,0.295,0.355,0.285,0.335,4808400.0,0.0,1.0,0.295,0.355,0.285,0.335,4808400.0
2017-07-13,0.3,0.31,0.29,0.295,255300.0,0.0,1.0,0.3,0.31,0.29,0.295,255300.0
2017-07-12,0.285,0.315,0.285,0.3,1455500.0,0.0,1.0,0.285,0.315,0.285,0.3,1455500.0
2017-07-11,0.29,0.295,0.28,0.29,847200.0,0.0,1.0,0.29,0.295,0.28,0.29,847200.0
2017-07-10,0.285,0.305,0.265,0.295,884100.0,0.0,1.0,0.285,0.305,0.265,0.295,884100.0
2017-07-07,0.0,0.29,0.275,0.275,126000.0,0.0,1.0,0.0,0.29,0.275,0.275,126000.0
2017-07-06,0.315,0.315,0.295,0.3,589700.0,0.0,1.0,0.315,0.315,0.295,0.3,589700.0
2017-07-05,0.27,0.315,0.27,0.315,3011300.0,0.0,1.0,0.27,0.315,0.27,0.315,3011300.0
2017-07-04,0.265,0.27,0.26,0.26,157000.0,0.0,1.0,0.265,0.27,0.26,0.26,157000.0
2017-07-03,0.27,0.275,0.26,0.275,334100.0,0.0,1.0,0.27,0.275,0.26,0.275,334100.0
2017-06-30,0.275,0.28,0.265,0.27,272000.0,0.0,1.0,0.275,0.28,0.265,0.27,272000.0
2017-06-29,0.265,0.285,0.265,0.275,1149900.0,0.0,1.0,0.265,0.285,0.265,0.275,1149900.0
2017-06-28,0.0,0.275,0.26,0.265,453300.0,0.0,1.0,0.0,0.275,0.26,0.265,453300.0
2017-06-23,0.275,0.28,0.26,0.28,433100.0,0.0,1.0,0.275,0.28,0.26,0.28,433100.0
2017-06-22,0.275,0.28,0.265,0.27,273300.0,0.0,1.0,0.275,0.28,0.265,0.27,273300.0
