RESULT_COUNT: 2623,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.0,0.425,0.42,0.425,30400.0,0.0,1.0,0.0,0.425,0.42,0.425,30400.0
2017-09-19,0.0,0.0,0.0,0.42,0.0,0.0,1.0,0.0,0.0,0.0,0.42,0.0
2017-09-18,0.0,0.42,0.415,0.42,32000.0,0.0,1.0,0.0,0.42,0.415,0.42,32000.0
2017-09-15,0.0,0.425,0.425,0.425,47000.0,0.0,1.0,0.0,0.425,0.425,0.425,47000.0
2017-09-14,0.0,0.435,0.43,0.43,20000.0,0.0,1.0,0.0,0.435,0.43,0.43,20000.0
2017-09-13,0.0,0.435,0.43,0.435,55800.0,0.0,1.0,0.0,0.435,0.43,0.435,55800.0
2017-09-12,0.0,0.435,0.425,0.435,101000.0,0.0,1.0,0.0,0.435,0.425,0.435,101000.0
2017-09-11,0.43,0.43,0.425,0.425,75000.0,0.0,1.0,0.43,0.43,0.425,0.425,75000.0
2017-09-08,0.41,0.43,0.41,0.43,34300.0,0.0,1.0,0.41,0.43,0.41,0.43,34300.0
2017-09-07,0.0,0.435,0.43,0.43,13700.0,0.0,1.0,0.0,0.435,0.43,0.43,13700.0
2017-09-06,0.0,0.425,0.405,0.425,13000.0,0.0,1.0,0.0,0.425,0.405,0.425,13000.0
2017-09-05,0.0,0.0,0.0,0.43,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.0
2017-08-30,0.0,0.43,0.43,0.43,1000.0,0.0,1.0,0.0,0.43,0.43,0.43,1000.0
2017-08-29,0.0,0.43,0.415,0.43,6000.0,0.0,1.0,0.0,0.43,0.415,0.43,6000.0
2017-08-28,0.0,0.43,0.415,0.43,104500.0,0.0,1.0,0.0,0.43,0.415,0.43,104500.0
2017-08-25,0.0,0.43,0.42,0.43,86500.0,0.0,1.0,0.0,0.43,0.42,0.43,86500.0
2017-08-24,0.0,0.435,0.42,0.435,260700.0,0.0,1.0,0.0,0.435,0.42,0.435,260700.0
2017-08-23,0.43,0.43,0.425,0.425,205000.0,0.0,1.0,0.43,0.43,0.425,0.425,205000.0
2017-08-22,0.0,0.44,0.43,0.43,106500.0,0.0,1.0,0.0,0.44,0.43,0.43,106500.0
2017-08-21,0.45,0.46,0.445,0.445,600500.0,0.0,1.0,0.45,0.46,0.445,0.445,600500.0
2017-08-18,0.445,0.455,0.445,0.455,283000.0,0.0,1.0,0.445,0.455,0.445,0.455,283000.0
2017-08-17,0.46,0.465,0.445,0.45,615500.0,0.0,1.0,0.46,0.465,0.445,0.45,615500.0
2017-08-16,0.42,0.455,0.42,0.455,1507500.0,0.0,1.0,0.42,0.455,0.42,0.455,1507500.0
2017-08-15,0.0,0.41,0.4,0.41,197000.0,0.0,1.0,0.0,0.41,0.4,0.41,197000.0
