RESULT_COUNT: 2426,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.225,0.23,0.225,0.23,169500.0,0.0,1.0,0.225,0.23,0.225,0.23,169500.0
2017-09-19,0.225,0.225,0.22,0.225,643500.0,0.0,1.0,0.225,0.225,0.22,0.225,643500.0
2017-09-18,0.235,0.235,0.225,0.225,1065500.0,0.0,1.0,0.235,0.235,0.225,0.225,1065500.0
2017-09-15,0.235,0.235,0.235,0.235,149000.0,0.0,1.0,0.235,0.235,0.235,0.235,149000.0
2017-09-14,0.235,0.235,0.23,0.235,67000.0,0.0,1.0,0.235,0.235,0.23,0.235,67000.0
2017-09-13,0.24,0.24,0.235,0.24,280600.0,0.0,1.0,0.24,0.24,0.235,0.24,280600.0
2017-09-12,0.245,0.26,0.245,0.245,6441900.0,0.0,1.0,0.245,0.26,0.245,0.245,6441900.0
2017-09-11,0.0,0.24,0.22,0.24,587700.0,0.0,1.0,0.0,0.24,0.22,0.24,587700.0
2017-09-08,0.22,0.225,0.22,0.225,33100.0,0.0,1.0,0.22,0.225,0.22,0.225,33100.0
2017-09-07,0.22,0.235,0.22,0.22,402400.0,0.0,1.0,0.22,0.235,0.22,0.22,402400.0
2017-09-06,0.235,0.235,0.225,0.225,90000.0,0.0,1.0,0.235,0.235,0.225,0.225,90000.0
2017-09-05,0.235,0.235,0.215,0.235,414200.0,0.0,1.0,0.235,0.235,0.215,0.235,414200.0
2017-08-30,0.0,0.215,0.215,0.215,200.0,0.0,1.0,0.0,0.215,0.215,0.215,200.0
2017-08-29,0.215,0.23,0.215,0.23,400.0,0.0,1.0,0.215,0.23,0.215,0.23,400.0
2017-08-28,0.235,0.235,0.23,0.23,293600.0,0.0,1.0,0.235,0.235,0.23,0.23,293600.0
2017-08-25,0.23,0.245,0.23,0.24,863100.0,0.0,1.0,0.23,0.245,0.23,0.24,863100.0
2017-08-24,0.0,0.23,0.22,0.23,287300.0,0.0,1.0,0.0,0.23,0.22,0.23,287300.0
2017-08-23,0.225,0.225,0.215,0.22,447100.0,0.0,1.0,0.225,0.225,0.215,0.22,447100.0
2017-08-22,0.0,0.23,0.23,0.23,100.0,0.0,1.0,0.0,0.23,0.23,0.23,100.0
2017-08-21,0.23,0.23,0.22,0.22,350000.0,0.0,1.0,0.23,0.23,0.22,0.22,350000.0
2017-08-18,0.225,0.23,0.225,0.23,552100.0,0.0,1.0,0.225,0.23,0.225,0.23,552100.0
2017-08-17,0.215,0.23,0.215,0.225,669100.0,0.0,1.0,0.215,0.23,0.215,0.225,669100.0
2017-08-16,0.205,0.22,0.205,0.22,204100.0,0.0,1.0,0.205,0.22,0.205,0.22,204100.0
2017-08-15,0.21,0.21,0.21,0.21,180000.0,0.0,1.0,0.21,0.21,0.21,0.21,180000.0
