RESULT_COUNT: 2637,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,1.13,1.16,1.12,1.12,1461000.0,0.0,1.0,1.13,1.16,1.12,1.12,1461000.0
2017-09-19,1.18,1.18,1.12,1.13,2247300.0,0.0,1.0,1.18,1.18,1.12,1.13,2247300.0
2017-09-18,1.24,1.24,1.18,1.18,2088600.0,0.0,1.0,1.24,1.24,1.18,1.18,2088600.0
2017-09-15,0.0,1.24,1.22,1.24,271300.0,0.0,1.0,0.0,1.24,1.22,1.24,271300.0
2017-09-14,1.23,1.24,1.23,1.24,365500.0,0.0,1.0,1.23,1.24,1.23,1.24,365500.0
2017-09-13,1.25,1.25,1.23,1.23,1271200.0,0.0,1.0,1.25,1.25,1.23,1.23,1271200.0
2017-09-12,1.25,1.26,1.24,1.25,903000.0,0.0,1.0,1.25,1.26,1.24,1.25,903000.0
2017-09-11,1.28,1.28,1.25,1.25,507900.0,0.0,1.0,1.28,1.28,1.25,1.25,507900.0
2017-09-08,1.29,1.29,1.28,1.28,489000.0,0.0,1.0,1.29,1.29,1.28,1.28,489000.0
2017-09-07,1.29,1.3,1.28,1.3,737100.0,0.0,1.0,1.29,1.3,1.28,1.3,737100.0
2017-09-06,1.27,1.29,1.27,1.28,431600.0,0.0,1.0,1.27,1.29,1.27,1.28,431600.0
2017-09-05,1.27,1.27,1.25,1.25,158600.0,0.0,1.0,1.27,1.27,1.25,1.25,158600.0
2017-08-30,1.28,1.28,1.26,1.27,226500.0,0.0,1.0,1.28,1.28,1.26,1.27,226500.0
2017-08-29,1.29,1.29,1.26,1.27,296700.0,0.0,1.0,1.29,1.29,1.26,1.27,296700.0
2017-08-28,1.28,1.3,1.28,1.29,297400.0,0.0,1.0,1.28,1.3,1.28,1.29,297400.0
2017-08-25,1.3,1.3,1.28,1.29,886200.0,0.0,1.0,1.3,1.3,1.28,1.29,886200.0
2017-08-24,0.0,1.31,1.29,1.3,371000.0,0.0,1.0,0.0,1.31,1.29,1.3,371000.0
2017-08-23,1.3,1.31,1.29,1.3,663000.0,0.0,1.0,1.3,1.31,1.29,1.3,663000.0
2017-08-22,1.33,1.34,1.29,1.31,1289900.0,0.0,1.0,1.33,1.34,1.29,1.31,1289900.0
2017-08-21,1.33,1.34,1.33,1.34,720100.0,0.0,1.0,1.33,1.34,1.33,1.34,720100.0
2017-08-18,1.33,1.33,1.33,1.33,805600.0,0.0,1.0,1.33,1.33,1.33,1.33,805600.0
2017-08-17,1.35,1.35,1.33,1.34,4035000.0,0.0,1.0,1.35,1.35,1.33,1.34,4035000.0
2017-08-16,1.36,1.36,1.35,1.36,176800.0,0.0,1.0,1.36,1.36,1.35,1.36,176800.0
2017-08-15,0.0,1.37,1.35,1.35,115800.0,0.0,1.0,0.0,1.37,1.35,1.35,115800.0
2017-08-14,1.35,1.39,1.35,1.36,1614000.0,0.0,1.0,1.35,1.39,1.35,1.36,1614000.0
2017-08-11,1.36,1.37,1.32,1.36,1987700.0,0.0,1.0,1.36,1.37,1.32,1.36,1987700.0
2017-08-10,1.33,1.38,1.33,1.37,1191300.0,0.0,1.0,1.33,1.38,1.33,1.37,1191300.0
2017-08-09,1.35,1.35,1.33,1.34,195000.0,0.0,1.0,1.35,1.35,1.33,1.34,195000.0
2017-08-08,1.34,1.35,1.32,1.35,369500.0,0.0,1.0,1.34,1.35,1.32,1.35,369500.0
2017-08-07,1.36,1.36,1.33,1.35,1059000.0,0.0,1.0,1.36,1.36,1.33,1.35,1059000.0
2017-08-04,1.37,1.37,1.35,1.36,89100.0,0.0,1.0,1.37,1.37,1.35,1.36,89100.0
2017-08-03,1.34,1.37,1.34,1.37,367700.0,0.0,1.0,1.34,1.37,1.34,1.37,367700.0
2017-08-02,0.0,1.35,1.34,1.35,389600.0,0.0,1.0,0.0,1.35,1.34,1.35,389600.0
2017-08-01,1.35,1.36,1.32,1.35,479500.0,0.0,1.0,1.35,1.36,1.32,1.35,479500.0
2017-07-31,1.35,1.38,1.34,1.36,1188700.0,0.0,1.0,1.35,1.38,1.34,1.36,1188700.0
2017-07-28,0.0,1.35,1.32,1.34,787400.0,0.0,1.0,0.0,1.35,1.32,1.34,787400.0
2017-07-27,1.33,1.33,1.32,1.32,446400.0,0.0,1.0,1.33,1.33,1.32,1.32,446400.0
2017-07-26,1.35,1.35,1.33,1.33,358300.0,0.0,1.0,1.35,1.35,1.33,1.33,358300.0
2017-07-25,1.37,1.37,1.33,1.34,594400.0,0.0,1.0,1.37,1.37,1.33,1.34,594400.0
2017-07-24,1.37,1.38,1.34,1.37,853500.0,0.0,1.0,1.37,1.38,1.34,1.37,853500.0
2017-07-21,1.34,1.35,1.34,1.35,150700.0,0.0,1.0,1.34,1.35,1.34,1.35,150700.0
2017-07-20,0.0,1.35,1.33,1.34,134900.0,0.0,1.0,0.0,1.35,1.33,1.34,134900.0
2017-07-19,1.35,1.35,1.33,1.35,450500.0,0.0,1.0,1.35,1.35,1.33,1.35,450500.0
2017-07-18,1.36,1.37,1.35,1.35,744800.0,0.0,1.0,1.36,1.37,1.35,1.35,744800.0
2017-07-17,1.37,1.37,1.35,1.36,188000.0,0.0,1.0,1.37,1.37,1.35,1.36,188000.0
2017-07-14,1.36,1.38,1.35,1.37,935600.0,0.0,1.0,1.36,1.38,1.35,1.37,935600.0
2017-07-13,1.36,1.36,1.34,1.36,558300.0,0.0,1.0,1.36,1.36,1.34,1.36,558300.0
2017-07-12,1.33,1.4,1.33,1.36,937500.0,0.0,1.0,1.33,1.4,1.33,1.36,937500.0
2017-07-11,1.36,1.36,1.32,1.32,495400.0,0.0,1.0,1.36,1.36,1.32,1.32,495400.0
2017-07-10,1.37,1.37,1.35,1.36,323800.0,0.0,1.0,1.37,1.37,1.35,1.36,323800.0
2017-07-07,1.36,1.4,1.35,1.36,812700.0,0.0,1.0,1.36,1.4,1.35,1.36,812700.0
2017-07-06,1.41,1.41,1.36,1.36,757700.0,0.0,1.0,1.41,1.41,1.36,1.36,757700.0
2017-07-05,1.36,1.42,1.36,1.4,3289700.0,0.0,1.0,1.36,1.42,1.36,1.4,3289700.0
2017-07-04,1.31,1.36,1.31,1.35,1902600.0,0.0,1.0,1.31,1.36,1.31,1.35,1902600.0
2017-07-03,1.31,1.31,1.3,1.3,1222000.0,0.0,1.0,1.31,1.31,1.3,1.3,1222000.0
2017-06-30,1.29,1.32,1.29,1.31,1060300.0,0.0,1.0,1.29,1.32,1.29,1.31,1060300.0
2017-06-29,1.29,1.29,1.28,1.29,106500.0,0.0,1.0,1.29,1.29,1.28,1.29,106500.0
