RESULT_COUNT: 2496,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.0,1.83,1.83,1.83,5000.0,0.0,1.0,0.0,1.83,1.83,1.83,5000.0
2017-09-19,0.0,1.83,1.83,1.83,3000.0,0.0,1.0,0.0,1.83,1.83,1.83,3000.0
2017-09-18,0.0,0.0,0.0,1.89,0.0,0.0,1.0,0.0,0.0,0.0,1.89,0.0
2017-09-15,0.0,1.89,1.88,1.89,7900.0,0.0,1.0,0.0,1.89,1.88,1.89,7900.0
2017-09-14,0.0,0.0,0.0,1.89,0.0,0.0,1.0,0.0,0.0,0.0,1.89,0.0
2017-09-13,0.0,0.0,0.0,1.89,0.0,0.0,1.0,0.0,0.0,0.0,1.89,0.0
2017-09-12,0.0,0.0,0.0,1.89,0.0,0.0,1.0,0.0,0.0,0.0,1.89,0.0
2017-09-11,1.89,1.89,1.87,1.89,3500.0,0.0,1.0,1.89,1.89,1.87,1.89,3500.0
2017-09-08,0.0,0.0,0.0,1.94,0.0,0.0,1.0,0.0,0.0,0.0,1.94,0.0
2017-09-07,0.0,0.0,0.0,1.94,0.0,0.0,1.0,0.0,0.0,0.0,1.94,0.0
2017-09-06,0.0,0.0,0.0,1.94,0.0,0.0,1.0,0.0,0.0,0.0,1.94,0.0
2017-09-05,0.0,0.0,0.0,1.94,0.0,0.0,1.0,0.0,0.0,0.0,1.94,0.0
2017-08-30,0.0,0.0,0.0,1.94,0.0,0.0,1.0,0.0,0.0,0.0,1.94,0.0
2017-08-29,1.83,1.94,1.83,1.94,8500.0,0.0,1.0,1.83,1.94,1.83,1.94,8500.0
2017-08-28,0.0,0.0,0.0,1.95,0.0,0.0,1.0,0.0,0.0,0.0,1.95,0.0
2017-08-25,0.0,0.0,0.0,1.95,0.0,0.0,1.0,0.0,0.0,0.0,1.95,0.0
2017-08-24,0.0,1.96,1.8,1.95,166100.0,0.0,1.0,0.0,1.96,1.8,1.95,166100.0
2017-08-23,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
2017-08-22,2.0,2.0,1.98,2.0,74500.0,0.0,1.0,2.0,2.0,1.98,2.0,74500.0
2017-08-21,0.0,2.0,2.0,2.0,5000.0,0.0,1.0,0.0,2.0,2.0,2.0,5000.0
2017-08-18,0.0,1.94,1.9,1.94,55200.0,0.0,1.0,0.0,1.94,1.9,1.94,55200.0
2017-08-17,1.94,1.94,1.94,1.94,3500.0,0.0,1.0,1.94,1.94,1.94,1.94,3500.0
2017-08-16,0.0,1.95,1.95,1.95,22400.0,0.0,1.0,0.0,1.95,1.95,1.95,22400.0
2017-08-15,0.0,1.95,1.95,1.95,12300.0,0.0,1.0,0.0,1.95,1.95,1.95,12300.0
2017-08-14,0.0,2.0,1.94,1.94,36600.0,0.0,1.0,0.0,2.0,1.94,1.94,36600.0
2017-08-11,1.95,1.95,1.93,1.94,17000.0,0.0,1.0,1.95,1.95,1.93,1.94,17000.0
2017-08-10,0.0,1.99,1.95,1.99,37700.0,0.0,1.0,0.0,1.99,1.95,1.99,37700.0
2017-08-09,0.0,0.0,0.0,1.99,0.0,0.0,1.0,0.0,0.0,0.0,1.99,0.0
2017-08-08,2.0,2.0,1.99,1.99,29000.0,0.0,1.0,2.0,2.0,1.99,1.99,29000.0
2017-08-07,0.0,2.0,1.98,1.99,27000.0,0.0,1.0,0.0,2.0,1.98,1.99,27000.0
2017-08-04,1.98,1.99,1.98,1.99,45000.0,0.0,1.0,1.98,1.99,1.98,1.99,45000.0
2017-08-03,0.0,1.99,1.98,1.98,7000.0,0.0,1.0,0.0,1.99,1.98,1.98,7000.0
2017-08-02,2.0,2.0,1.98,2.0,38800.0,0.0,1.0,2.0,2.0,1.98,2.0,38800.0
2017-08-01,1.98,2.01,1.98,2.0,24000.0,0.0,1.0,1.98,2.01,1.98,2.0,24000.0
2017-07-31,0.0,0.0,0.0,2.08,0.0,0.0,1.0,0.0,0.0,0.0,2.08,0.0
2017-07-28,0.0,2.08,1.99,2.08,15000.0,0.0,1.0,0.0,2.08,1.99,2.08,15000.0
2017-07-27,1.95,1.97,1.95,1.97,46500.0,0.0,1.0,1.95,1.97,1.95,1.97,46500.0
2017-07-26,1.96,1.96,1.95,1.95,95400.0,0.0,1.0,1.96,1.96,1.95,1.95,95400.0
2017-07-25,1.95,1.97,1.95,1.95,66000.0,0.0,1.0,1.95,1.97,1.95,1.95,66000.0
2017-07-24,0.0,1.99,1.95,1.95,76000.0,0.0,1.0,0.0,1.99,1.95,1.95,76000.0
2017-07-21,0.0,2.0,1.89,1.98,46000.0,0.0,1.0,0.0,2.0,1.89,1.98,46000.0
2017-07-20,0.0,1.98,1.95,1.98,91000.0,0.0,1.0,0.0,1.98,1.95,1.98,91000.0
2017-07-19,0.0,1.94,1.89,1.92,17400.0,0.0,1.0,0.0,1.94,1.89,1.92,17400.0
2017-07-18,0.0,0.0,0.0,1.89,0.0,0.0,1.0,0.0,0.0,0.0,1.89,0.0
2017-07-17,0.0,0.0,0.0,1.89,0.0,0.0,1.0,0.0,0.0,0.0,1.89,0.0
2017-07-14,0.0,1.9,1.89,1.89,29200.0,0.0,1.0,0.0,1.9,1.89,1.89,29200.0
2017-07-13,0.0,1.89,1.85,1.89,11000.0,0.0,1.0,0.0,1.89,1.85,1.89,11000.0
