RESULT_COUNT: 2363,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.145,0.15,0.14,0.145,11425900.0,0.0,1.0,0.145,0.15,0.14,0.145,11425900.0
2017-09-19,0.145,0.15,0.14,0.145,20768700.0,0.0,1.0,0.145,0.15,0.14,0.145,20768700.0
2017-09-18,0.145,0.145,0.14,0.145,9948200.0,0.0,1.0,0.145,0.145,0.14,0.145,9948200.0
2017-09-15,0.14,0.15,0.14,0.145,18829600.0,0.0,1.0,0.14,0.15,0.14,0.145,18829600.0
2017-09-14,0.145,0.15,0.14,0.14,10633700.0,0.0,1.0,0.145,0.15,0.14,0.14,10633700.0
2017-09-13,0.145,0.15,0.14,0.145,18080700.0,0.0,1.0,0.145,0.15,0.14,0.145,18080700.0
2017-09-12,0.15,0.155,0.145,0.15,53943600.0,0.0,1.0,0.15,0.155,0.145,0.15,53943600.0
2017-09-11,0.145,0.15,0.145,0.15,23608700.0,0.0,1.0,0.145,0.15,0.145,0.15,23608700.0
2017-09-08,0.145,0.155,0.14,0.14,99334800.0,0.0,1.0,0.145,0.155,0.14,0.14,99334800.0
2017-09-07,0.12,0.14,0.12,0.14,90421700.0,0.0,1.0,0.12,0.14,0.12,0.14,90421700.0
2017-09-06,0.125,0.125,0.12,0.125,495600.0,0.0,1.0,0.125,0.125,0.12,0.125,495600.0
2017-09-05,0.125,0.13,0.12,0.125,5027900.0,0.0,1.0,0.125,0.13,0.12,0.125,5027900.0
2017-08-30,0.125,0.125,0.12,0.125,1859000.0,0.0,1.0,0.125,0.125,0.12,0.125,1859000.0
2017-08-29,0.125,0.13,0.125,0.125,12809500.0,0.0,1.0,0.125,0.13,0.125,0.125,12809500.0
2017-08-28,0.125,0.13,0.125,0.13,2694800.0,0.0,1.0,0.125,0.13,0.125,0.13,2694800.0
2017-08-25,0.125,0.13,0.125,0.13,4316700.0,0.0,1.0,0.125,0.13,0.125,0.13,4316700.0
2017-08-24,0.0,0.13,0.125,0.13,4744000.0,0.0,1.0,0.0,0.13,0.125,0.13,4744000.0
2017-08-23,0.12,0.13,0.12,0.13,18952100.0,0.0,1.0,0.12,0.13,0.12,0.13,18952100.0
2017-08-22,0.12,0.125,0.12,0.12,3092600.0,0.0,1.0,0.12,0.125,0.12,0.12,3092600.0
2017-08-21,0.13,0.13,0.12,0.125,7949500.0,0.0,1.0,0.13,0.13,0.12,0.125,7949500.0
2017-08-18,0.125,0.13,0.12,0.13,18131400.0,0.0,1.0,0.125,0.13,0.12,0.13,18131400.0
2017-08-17,0.12,0.13,0.12,0.13,9619400.0,0.0,1.0,0.12,0.13,0.12,0.13,9619400.0
2017-08-16,0.125,0.125,0.12,0.125,3168200.0,0.0,1.0,0.125,0.125,0.12,0.125,3168200.0
2017-08-15,0.12,0.13,0.12,0.125,25949900.0,0.0,1.0,0.12,0.13,0.12,0.125,25949900.0
2017-08-14,0.0,0.12,0.105,0.12,11697300.0,0.0,1.0,0.0,0.12,0.105,0.12,11697300.0
2017-08-11,0.105,0.11,0.095,0.105,12972500.0,0.0,1.0,0.105,0.11,0.095,0.105,12972500.0
2017-08-10,0.105,0.105,0.1,0.1,2244700.0,0.0,1.0,0.105,0.105,0.1,0.1,2244700.0
2017-08-09,0.105,0.11,0.105,0.11,3578900.0,0.0,1.0,0.105,0.11,0.105,0.11,3578900.0
2017-08-08,0.11,0.115,0.105,0.11,3054700.0,0.0,1.0,0.11,0.115,0.105,0.11,3054700.0
2017-08-07,0.115,0.115,0.1,0.11,17782300.0,0.0,1.0,0.115,0.115,0.1,0.11,17782300.0
2017-08-04,0.115,0.12,0.115,0.12,7087800.0,0.0,1.0,0.115,0.12,0.115,0.12,7087800.0
2017-08-03,0.12,0.125,0.115,0.12,6289700.0,0.0,1.0,0.12,0.125,0.115,0.12,6289700.0
2017-08-02,0.125,0.13,0.12,0.125,8872800.0,0.0,1.0,0.125,0.13,0.12,0.125,8872800.0
2017-08-01,0.13,0.13,0.125,0.125,1968200.0,0.0,1.0,0.13,0.13,0.125,0.125,1968200.0
2017-07-31,0.13,0.13,0.125,0.125,3890500.0,0.0,1.0,0.13,0.13,0.125,0.125,3890500.0
2017-07-28,0.13,0.135,0.125,0.135,2375600.0,0.0,1.0,0.13,0.135,0.125,0.135,2375600.0
2017-07-27,0.13,0.135,0.125,0.13,14257900.0,0.0,1.0,0.13,0.135,0.125,0.13,14257900.0
2017-07-26,0.135,0.135,0.13,0.13,2156400.0,0.0,1.0,0.135,0.135,0.13,0.13,2156400.0
2017-07-25,0.135,0.135,0.13,0.135,1357300.0,0.0,1.0,0.135,0.135,0.13,0.135,1357300.0
2017-07-24,0.135,0.14,0.13,0.14,4651500.0,0.0,1.0,0.135,0.14,0.13,0.14,4651500.0
2017-07-21,0.135,0.135,0.135,0.135,6724600.0,0.0,1.0,0.135,0.135,0.135,0.135,6724600.0
2017-07-20,0.135,0.14,0.135,0.135,1965700.0,0.0,1.0,0.135,0.14,0.135,0.135,1965700.0
2017-07-19,0.0,0.14,0.135,0.14,3549100.0,0.0,1.0,0.0,0.14,0.135,0.14,3549100.0
2017-07-18,0.135,0.14,0.135,0.14,653500.0,0.0,1.0,0.135,0.14,0.135,0.14,653500.0
2017-07-17,0.14,0.14,0.135,0.14,2245400.0,0.0,1.0,0.14,0.14,0.135,0.14,2245400.0
2017-07-14,0.14,0.14,0.135,0.14,2604100.0,0.0,1.0,0.14,0.14,0.135,0.14,2604100.0
2017-07-13,0.14,0.145,0.14,0.14,16228300.0,0.0,1.0,0.14,0.145,0.14,0.14,16228300.0
2017-07-12,0.14,0.14,0.135,0.135,1295700.0,0.0,1.0,0.14,0.14,0.135,0.135,1295700.0
2017-07-11,0.0,0.14,0.135,0.135,1419200.0,0.0,1.0,0.0,0.14,0.135,0.135,1419200.0
2017-07-10,0.145,0.145,0.135,0.135,1869000.0,0.0,1.0,0.145,0.145,0.135,0.135,1869000.0
2017-07-07,0.14,0.145,0.14,0.14,3597100.0,0.0,1.0,0.14,0.145,0.14,0.14,3597100.0
2017-07-06,0.14,0.145,0.14,0.14,1372500.0,0.0,1.0,0.14,0.145,0.14,0.14,1372500.0
2017-07-05,0.145,0.145,0.14,0.14,1347800.0,0.0,1.0,0.145,0.145,0.14,0.14,1347800.0
2017-07-04,0.145,0.145,0.14,0.14,2259300.0,0.0,1.0,0.145,0.145,0.14,0.14,2259300.0
2017-07-03,0.14,0.15,0.14,0.145,11898600.0,0.0,1.0,0.14,0.15,0.14,0.145,11898600.0
2017-06-30,0.14,0.145,0.14,0.14,3061000.0,0.0,1.0,0.14,0.145,0.14,0.14,3061000.0
2017-06-29,0.145,0.145,0.14,0.14,2014100.0,0.0,1.0,0.145,0.145,0.14,0.14,2014100.0
2017-06-28,0.0,0.15,0.14,0.145,5512000.0,0.0,1.0,0.0,0.15,0.14,0.145,5512000.0
2017-06-23,0.145,0.15,0.14,0.145,10841400.0,0.0,1.0,0.14,0.15,0.14,0.14,10841400.0
2017-06-22,0.135,0.145,0.135,0.14,14019700.0,0.0,1.0,0.14,0.14,0.14,0.14,14019700.0
2017-06-21,0.135,0.14,0.135,0.135,4649400.0,0.0,1.0,0.14,0.14,0.14,0.14,4649400.0
2017-06-20,0.14,0.14,0.135,0.14,9283400.0,0.0,1.0,0.14,0.14,0.14,0.14,9283400.0
2017-06-19,0.14,0.14,0.135,0.14,12918300.0,0.0,1.0,0.14,0.14,0.14,0.14,12918300.0
2017-06-16,0.135,0.14,0.135,0.14,8613000.0,0.0,1.0,0.14,0.14,0.14,0.14,8613000.0
2017-06-15,0.135,0.14,0.135,0.135,1376700.0,0.0,1.0,0.14,0.14,0.14,0.14,1376700.0
2017-06-14,0.135,0.14,0.135,0.135,2281190.0,0.0,1.0,0.14,0.14,0.14,0.14,2281190.0
2017-06-13,0.135,0.14,0.135,0.14,2321800.0,0.0,1.0,0.14,0.14,0.14,0.14,2321800.0
2017-06-09,0.135,0.14,0.135,0.135,2669800.0,0.0,1.0,0.14,0.14,0.14,0.14,2669800.0
2017-06-08,0.135,0.135,0.135,0.135,1457200.0,0.0,1.0,0.14,0.14,0.14,0.14,1457200.0
2017-06-07,0.135,0.14,0.13,0.135,8828690.0,0.0,1.0,0.14,0.14,0.13,0.14,8828690.0
2017-06-06,0.14,0.14,0.135,0.135,2413300.0,0.0,1.0,0.14,0.14,0.14,0.14,2413300.0
2017-06-05,0.13,0.14,0.13,0.14,10416700.0,0.0,1.0,0.13,0.14,0.13,0.14,10416700.0
2017-06-02,0.13,0.135,0.13,0.13,3388500.0,0.0,1.0,0.13,0.14,0.13,0.13,3388500.0
2017-06-01,0.13,0.135,0.13,0.13,4876000.0,0.0,1.0,0.13,0.14,0.13,0.13,4876000.0
2017-05-31,0.135,0.14,0.13,0.13,13915080.0,0.0,1.0,0.14,0.14,0.13,0.13,13915080.0
2017-05-30,0.135,0.14,0.135,0.135,6358890.0,0.0,1.0,0.14,0.14,0.14,0.14,6358890.0
2017-05-29,0.145,0.15,0.135,0.135,18311600.0,0.0,1.0,0.14,0.15,0.14,0.14,18311600.0
2017-05-26,0.16,0.165,0.15,0.155,27039700.0,0.0,1.0,0.16,0.17,0.15,0.16,27039700.0
2017-05-25,0.15,0.16,0.145,0.155,69826300.0,0.0,1.0,0.15,0.16,0.14,0.16,69826300.0
2017-05-24,0.145,0.15,0.14,0.15,23681170.0,0.0,1.0,0.14,0.15,0.14,0.15,23681170.0
2017-05-23,0.135,0.145,0.135,0.145,21509490.0,0.0,1.0,0.14,0.14,0.14,0.14,21509490.0
2017-05-22,0.14,0.14,0.135,0.135,1378000.0,0.0,1.0,0.14,0.14,0.14,0.14,1378000.0
2017-05-19,0.135,0.14,0.13,0.14,3786400.0,0.0,1.0,0.14,0.14,0.13,0.14,3786400.0
2017-05-18,0.135,0.14,0.13,0.135,10347770.0,0.0,1.0,0.14,0.14,0.13,0.14,10347770.0
2017-05-17,0.135,0.14,0.135,0.135,2860500.0,0.0,1.0,0.14,0.14,0.14,0.14,2860500.0
2017-05-16,0.14,0.14,0.135,0.135,2190600.0,0.0,1.0,0.14,0.14,0.14,0.14,2190600.0
2017-05-15,0.14,0.14,0.135,0.135,3147500.0,0.0,1.0,0.14,0.14,0.14,0.14,3147500.0
2017-05-12,0.14,0.145,0.135,0.135,1864900.0,0.0,1.0,0.14,0.14,0.14,0.14,1864900.0
2017-05-11,0.14,0.145,0.14,0.14,4823200.0,0.0,1.0,0.14,0.14,0.14,0.14,4823200.0
2017-05-09,0.145,0.145,0.14,0.14,5307600.0,0.0,1.0,0.14,0.14,0.14,0.14,5307600.0
2017-05-08,0.145,0.145,0.14,0.14,6948100.0,0.0,1.0,0.14,0.14,0.14,0.14,6948100.0
2017-05-05,0.14,0.145,0.135,0.14,13043800.0,0.0,1.0,0.14,0.14,0.14,0.14,13043800.0
2017-05-04,0.14,0.14,0.13,0.135,11943600.0,0.0,1.0,0.14,0.14,0.13,0.14,11943600.0
2017-05-03,0.145,0.145,0.14,0.14,9752400.0,0.0,1.0,0.14,0.14,0.14,0.14,9752400.0
2017-05-02,0.14,0.145,0.14,0.14,10259300.0,0.0,1.0,0.14,0.14,0.14,0.14,10259300.0
2017-04-28,0.14,0.145,0.14,0.14,6164800.0,0.0,1.0,0.14,0.14,0.14,0.14,6164800.0
2017-04-27,0.14,0.145,0.135,0.14,26045900.0,0.0,1.0,0.14,0.14,0.14,0.14,26045900.0
2017-04-26,0.135,0.14,0.13,0.135,6764300.0,0.0,1.0,0.14,0.14,0.13,0.14,6764300.0
2017-04-25,0.135,0.14,0.13,0.135,8611800.0,0.0,1.0,0.14,0.14,0.13,0.14,8611800.0
2017-04-21,0.135,0.135,0.13,0.135,3853000.0,0.0,1.0,0.14,0.14,0.13,0.14,3853000.0
2017-04-20,0.135,0.135,0.13,0.135,11181700.0,0.0,1.0,0.14,0.14,0.13,0.14,11181700.0
2017-04-19,0.14,0.14,0.13,0.13,6229200.0,0.0,1.0,0.14,0.14,0.13,0.13,6229200.0
2017-04-18,0.135,0.14,0.13,0.135,14221940.0,0.0,1.0,0.14,0.14,0.13,0.14,14221940.0
2017-04-17,0.14,0.145,0.135,0.135,15307700.0,0.0,1.0,0.14,0.14,0.14,0.14,15307700.0
2017-04-14,0.14,0.14,0.135,0.14,11974100.0,0.0,1.0,0.14,0.14,0.14,0.14,11974100.0
2017-04-13,0.145,0.145,0.14,0.14,8579300.0,0.0,1.0,0.14,0.14,0.14,0.14,8579300.0
2017-04-12,0.15,0.155,0.145,0.145,30915900.0,0.0,1.0,0.15,0.16,0.14,0.14,30915900.0
2017-04-11,0.14,0.145,0.14,0.14,12474200.0,0.0,1.0,0.14,0.14,0.14,0.14,12474200.0
2017-04-10,0.15,0.15,0.14,0.14,10718300.0,0.0,1.0,0.15,0.15,0.14,0.14,10718300.0
2017-04-07,0.15,0.155,0.145,0.145,24681600.0,0.0,1.0,0.15,0.16,0.14,0.14,24681600.0
2017-04-06,0.145,0.155,0.14,0.145,28709140.0,0.0,1.0,0.14,0.16,0.14,0.14,28709140.0
2017-04-05,0.15,0.15,0.14,0.145,9248300.0,0.0,1.0,0.15,0.15,0.14,0.14,9248300.0
2017-04-04,0.155,0.155,0.145,0.145,37445400.0,0.0,1.0,0.16,0.16,0.14,0.14,37445400.0
2017-04-03,0.135,0.15,0.13,0.15,46945200.0,0.0,1.0,0.14,0.15,0.13,0.15,46945200.0
2017-03-31,0.135,0.14,0.135,0.135,7406900.0,0.0,1.0,0.14,0.14,0.14,0.14,7406900.0
2017-03-30,0.145,0.145,0.135,0.135,14383600.0,0.0,1.0,0.14,0.14,0.14,0.14,14383600.0
2017-03-29,0.145,0.15,0.14,0.145,27006900.0,0.0,1.0,0.14,0.15,0.14,0.14,27006900.0
2017-03-28,0.14,0.145,0.14,0.14,22682430.0,0.0,1.0,0.14,0.14,0.14,0.14,22682430.0
2017-03-27,0.14,0.145,0.135,0.135,37921700.0,0.0,1.0,0.14,0.14,0.14,0.14,37921700.0
2017-03-24,0.13,0.14,0.12,0.135,48850160.0,0.0,1.0,0.13,0.14,0.12,0.14,48850160.0
2017-03-23,0.15,0.15,0.13,0.13,34204990.0,0.0,1.0,0.15,0.15,0.13,0.13,34204990.0
2017-03-22,0.14,0.15,0.14,0.145,30876820.0,0.0,1.0,0.14,0.15,0.14,0.14,30876820.0
2017-03-21,0.165,0.175,0.14,0.15,87543040.0,0.0,1.0,0.17,0.18,0.14,0.15,87543040.0
2017-03-20,0.125,0.17,0.125,0.155,269476420.0,0.0,1.0,0.13,0.17,0.13,0.16,269476420.0
2017-03-17,0.11,0.12,0.105,0.115,34834740.0,0.0,1.0,0.11,0.12,0.11,0.12,34834740.0
2017-03-16,0.105,0.11,0.105,0.105,17311100.0,0.0,1.0,0.11,0.11,0.11,0.11,17311100.0
2017-03-15,0.095,0.11,0.095,0.105,33498900.0,0.0,1.0,0.1,0.11,0.1,0.11,33498900.0
2017-03-14,0.095,0.1,0.09,0.095,14217930.0,0.0,1.0,0.1,0.1,0.09,0.1,14217930.0
2017-03-13,0.09,0.095,0.09,0.095,2683800.0,0.0,1.0,0.09,0.1,0.09,0.1,2683800.0
2017-03-10,0.095,0.095,0.09,0.09,2122300.0,0.0,1.0,0.1,0.1,0.09,0.09,2122300.0
2017-03-09,0.095,0.095,0.09,0.095,690000.0,0.0,1.0,0.1,0.1,0.09,0.1,690000.0
2017-03-08,0.095,0.095,0.09,0.09,2398100.0,0.0,1.0,0.1,0.1,0.09,0.09,2398100.0
2017-03-07,0.095,0.095,0.09,0.095,2717000.0,0.0,1.0,0.1,0.1,0.09,0.1,2717000.0
2017-03-06,0.09,0.1,0.09,0.095,16058100.0,0.0,1.0,0.09,0.1,0.09,0.1,16058100.0
2017-03-03,0.09,0.095,0.09,0.09,5978300.0,0.0,1.0,0.09,0.1,0.09,0.09,5978300.0
2017-03-02,0.095,0.095,0.085,0.09,14335300.0,0.0,1.0,0.1,0.1,0.09,0.09,14335300.0
2017-03-01,0.09,0.095,0.09,0.095,3760140.0,0.0,1.0,0.09,0.1,0.09,0.1,3760140.0
2017-02-28,0.095,0.095,0.09,0.09,3500000.0,0.0,1.0,0.1,0.1,0.09,0.09,3500000.0
2017-02-27,0.1,0.1,0.095,0.095,3990500.0,0.0,1.0,0.1,0.1,0.1,0.1,3990500.0
2017-02-24,0.095,0.1,0.09,0.095,10915000.0,0.0,1.0,0.1,0.1,0.09,0.1,10915000.0
2017-02-23,0.095,0.095,0.09,0.09,3366260.0,0.0,1.0,0.1,0.1,0.09,0.09,3366260.0
2017-02-22,0.095,0.095,0.09,0.095,1909200.0,0.0,1.0,0.1,0.1,0.09,0.1,1909200.0
2017-02-21,0.095,0.1,0.095,0.1,5373200.0,0.0,1.0,0.1,0.1,0.1,0.1,5373200.0
2017-02-20,0.095,0.1,0.09,0.095,10323400.0,0.0,1.0,0.1,0.1,0.09,0.1,10323400.0
2017-02-17,0.1,0.1,0.095,0.095,15323530.0,0.0,1.0,0.1,0.1,0.1,0.1,15323530.0
2017-02-16,0.1,0.1,0.095,0.1,4264500.0,0.0,1.0,0.1,0.1,0.1,0.1,4264500.0
2017-02-15,0.1,0.105,0.095,0.095,15642160.0,0.0,1.0,0.1,0.11,0.1,0.1,15642160.0
2017-02-14,0.095,0.1,0.09,0.1,22668100.0,0.0,1.0,0.1,0.1,0.09,0.1,22668100.0
2017-02-13,0.09,0.095,0.085,0.095,6648400.0,0.0,1.0,0.09,0.1,0.09,0.1,6648400.0
2017-02-10,0.085,0.09,0.08,0.085,13215900.0,0.0,1.0,0.09,0.09,0.08,0.09,13215900.0
2017-02-08,0.085,0.085,0.08,0.085,717000.0,0.0,1.0,0.09,0.09,0.08,0.09,717000.0
2017-02-07,0.085,0.085,0.08,0.085,668200.0,0.0,1.0,0.09,0.09,0.08,0.09,668200.0
2017-02-06,0.085,0.085,0.08,0.085,811230.0,0.0,1.0,0.09,0.09,0.08,0.09,811230.0
2017-02-03,0.08,0.085,0.08,0.08,1692400.0,0.0,1.0,0.08,0.09,0.08,0.08,1692400.0
2017-02-02,0.085,0.085,0.08,0.08,155000.0,0.0,1.0,0.09,0.09,0.08,0.08,155000.0
2017-01-31,0.08,0.085,0.08,0.085,770300.0,0.0,1.0,0.08,0.09,0.08,0.09,770300.0
2017-01-27,0.08,0.08,0.08,0.08,245400.0,0.0,1.0,0.08,0.08,0.08,0.08,245400.0
2017-01-26,0.08,0.08,0.075,0.08,1209500.0,0.0,1.0,0.08,0.08,0.08,0.08,1209500.0
