RESULT_COUNT: 2553,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,0.17,0.17,0.17,0.17,763000.0,0.0,1.0,0.17,0.17,0.17,0.17,763000.0
2017-09-19,0.0,0.17,0.17,0.17,601300.0,0.0,1.0,0.0,0.17,0.17,0.17,601300.0
2017-09-18,0.175,0.175,0.17,0.17,994000.0,0.0,1.0,0.175,0.175,0.17,0.17,994000.0
2017-09-15,0.175,0.175,0.17,0.175,2143000.0,0.0,1.0,0.175,0.175,0.17,0.175,2143000.0
2017-09-14,0.18,0.18,0.175,0.175,1255300.0,0.0,1.0,0.18,0.18,0.175,0.175,1255300.0
2017-09-13,0.18,0.195,0.18,0.18,4991500.0,0.0,1.0,0.18,0.195,0.18,0.18,4991500.0
2017-09-12,0.175,0.185,0.175,0.18,3647800.0,0.0,1.0,0.175,0.185,0.175,0.18,3647800.0
2017-09-11,0.17,0.18,0.17,0.18,1288500.0,0.0,1.0,0.17,0.18,0.17,0.18,1288500.0
2017-09-08,0.17,0.175,0.165,0.165,742100.0,0.0,1.0,0.17,0.175,0.165,0.165,742100.0
2017-09-07,0.17,0.17,0.165,0.165,980400.0,0.0,1.0,0.17,0.17,0.165,0.165,980400.0
2017-09-06,0.17,0.17,0.165,0.165,896700.0,0.0,1.0,0.17,0.17,0.165,0.165,896700.0
2017-09-05,0.175,0.175,0.17,0.17,508500.0,0.0,1.0,0.175,0.175,0.17,0.17,508500.0
2017-08-30,0.16,0.17,0.16,0.17,1830000.0,0.0,1.0,0.16,0.17,0.16,0.17,1830000.0
2017-08-29,0.16,0.17,0.16,0.165,1535000.0,0.0,1.0,0.16,0.17,0.16,0.165,1535000.0
2017-08-28,0.165,0.165,0.16,0.16,1052000.0,0.0,1.0,0.165,0.165,0.16,0.16,1052000.0
2017-08-25,0.17,0.17,0.16,0.17,1142100.0,0.0,1.0,0.17,0.17,0.16,0.17,1142100.0
2017-08-24,0.0,0.175,0.17,0.17,697100.0,0.0,1.0,0.0,0.175,0.17,0.17,697100.0
2017-08-23,0.17,0.175,0.165,0.165,630200.0,0.0,1.0,0.17,0.175,0.165,0.165,630200.0
2017-08-22,0.17,0.175,0.165,0.175,1433300.0,0.0,1.0,0.17,0.175,0.165,0.175,1433300.0
