RESULT_COUNT: 2526,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-09-20,1.23,1.25,1.22,1.24,472800.0,0.0,1.0,1.23,1.25,1.22,1.24,472800.0
2017-09-19,1.21,1.26,1.21,1.22,640500.0,0.0,1.0,1.21,1.26,1.21,1.22,640500.0
2017-09-18,1.28,1.29,1.23,1.23,591700.0,0.0,1.0,1.28,1.29,1.23,1.23,591700.0
2017-09-15,1.18,1.28,1.13,1.28,3983000.0,0.0,1.0,1.18,1.28,1.13,1.28,3983000.0
2017-09-14,1.26,1.27,1.18,1.18,2927800.0,0.0,1.0,1.26,1.27,1.18,1.18,2927800.0
2017-09-13,1.28,1.32,1.25,1.27,3033700.0,0.0,1.0,1.28,1.32,1.25,1.27,3033700.0
2017-09-12,1.33,1.4,1.33,1.39,783400.0,0.0,1.0,1.33,1.4,1.33,1.39,783400.0
2017-09-11,1.33,1.33,1.29,1.32,866900.0,0.0,1.0,1.33,1.33,1.29,1.32,866900.0
2017-09-08,1.34,1.35,1.33,1.33,390300.0,0.0,1.0,1.34,1.35,1.33,1.33,390300.0
2017-09-07,1.33,1.34,1.33,1.34,288500.0,0.0,1.0,1.33,1.34,1.33,1.34,288500.0
2017-09-06,1.37,1.37,1.34,1.34,390500.0,0.0,1.0,1.37,1.37,1.34,1.34,390500.0
2017-09-05,1.42,1.42,1.35,1.37,673700.0,0.0,1.0,1.42,1.42,1.35,1.37,673700.0
2017-08-30,1.43,1.43,1.42,1.42,251700.0,0.0,1.0,1.43,1.43,1.42,1.42,251700.0
2017-08-29,1.42,1.44,1.42,1.43,322000.0,0.0,1.0,1.42,1.44,1.42,1.43,322000.0
2017-08-28,1.47,1.48,1.42,1.43,436000.0,0.0,1.0,1.47,1.48,1.42,1.43,436000.0
2017-08-25,1.47,1.48,1.46,1.46,223200.0,0.0,1.0,1.47,1.48,1.46,1.46,223200.0
2017-08-24,0.0,1.5,1.47,1.49,520700.0,0.0,1.0,0.0,1.5,1.47,1.49,520700.0
2017-08-23,1.52,1.52,1.51,1.51,85600.0,0.0,1.0,1.52,1.52,1.51,1.51,85600.0
2017-08-22,1.52,1.52,1.5,1.52,98000.0,0.0,1.0,1.52,1.52,1.5,1.52,98000.0
2017-08-21,0.0,1.52,1.5,1.5,64600.0,0.0,1.0,0.0,1.52,1.5,1.5,64600.0
2017-08-18,0.0,1.55,1.52,1.53,37100.0,0.0,1.0,0.0,1.55,1.52,1.53,37100.0
2017-08-17,1.54,1.55,1.54,1.54,150900.0,0.0,1.0,1.54,1.55,1.54,1.54,150900.0
2017-08-16,1.56,1.56,1.53,1.54,109500.0,0.0,1.0,1.56,1.56,1.53,1.54,109500.0
2017-08-15,0.0,1.55,1.52,1.55,90600.0,0.0,1.0,0.0,1.55,1.52,1.55,90600.0
2017-08-14,1.46,1.56,1.46,1.56,284300.0,0.0,1.0,1.46,1.56,1.46,1.56,284300.0
2017-08-11,1.5,1.5,1.46,1.46,642200.0,0.0,1.0,1.5,1.5,1.46,1.46,642200.0
2017-08-10,1.55,1.55,1.5,1.52,338700.0,0.0,1.0,1.55,1.55,1.5,1.52,338700.0
2017-08-09,1.54,1.56,1.54,1.55,220300.0,0.0,1.0,1.54,1.56,1.54,1.55,220300.0
2017-08-08,1.58,1.58,1.52,1.54,444600.0,0.0,1.0,1.58,1.58,1.52,1.54,444600.0
2017-08-07,1.63,1.65,1.58,1.58,249300.0,0.0,1.0,1.63,1.65,1.58,1.58,249300.0
2017-08-04,1.64,1.67,1.62,1.64,436500.0,0.0,1.0,1.64,1.67,1.62,1.64,436500.0
2017-08-03,1.6,1.65,1.6,1.61,912700.0,0.0,1.0,1.6,1.65,1.6,1.61,912700.0
2017-08-02,1.54,1.58,1.53,1.58,288500.0,0.0,1.0,1.54,1.58,1.53,1.58,288500.0
2017-08-01,1.58,1.58,1.51,1.55,372300.0,0.0,1.0,1.58,1.58,1.51,1.55,372300.0
2017-07-31,1.55,1.59,1.55,1.58,290900.0,0.0,1.0,1.55,1.59,1.55,1.58,290900.0
2017-07-28,0.0,1.6,1.55,1.57,400800.0,0.0,1.0,0.0,1.6,1.55,1.57,400800.0
2017-07-27,1.6,1.6,1.59,1.6,183600.0,0.0,1.0,1.6,1.6,1.59,1.6,183600.0
2017-07-26,1.6,1.62,1.6,1.6,221500.0,0.0,1.0,1.6,1.62,1.6,1.6,221500.0
2017-07-25,1.59,1.64,1.58,1.59,246200.0,0.0,1.0,1.59,1.64,1.58,1.59,246200.0
2017-07-24,1.62,1.63,1.58,1.59,396200.0,0.0,1.0,1.62,1.63,1.58,1.59,396200.0
2017-07-21,1.62,1.64,1.61,1.62,370200.0,0.0,1.0,1.62,1.64,1.61,1.62,370200.0
2017-07-20,1.64,1.64,1.61,1.62,324400.0,0.0,1.0,1.64,1.64,1.61,1.62,324400.0
2017-07-19,1.62,1.67,1.62,1.64,410600.0,0.0,1.0,1.62,1.67,1.62,1.64,410600.0
2017-07-18,1.68,1.69,1.62,1.62,704500.0,0.0,1.0,1.68,1.69,1.62,1.62,704500.0
2017-07-17,1.73,1.73,1.66,1.68,452600.0,0.0,1.0,1.73,1.73,1.66,1.68,452600.0
2017-07-14,1.62,1.74,1.62,1.72,3237300.0,0.0,1.0,1.62,1.74,1.62,1.72,3237300.0
2017-07-13,1.56,1.6,1.55,1.6,1039300.0,0.0,1.0,1.56,1.6,1.55,1.6,1039300.0
2017-07-12,1.57,1.58,1.54,1.56,308200.0,0.0,1.0,1.57,1.58,1.54,1.56,308200.0
2017-07-11,1.55,1.6,1.53,1.58,916200.0,0.0,1.0,1.55,1.6,1.53,1.58,916200.0
2017-07-10,1.57,1.58,1.54,1.56,1167600.0,0.0,1.0,1.57,1.58,1.54,1.56,1167600.0
2017-07-07,0.0,1.57,1.48,1.54,1476200.0,0.0,1.0,0.0,1.57,1.48,1.54,1476200.0
2017-07-06,1.53,1.53,1.49,1.49,535100.0,0.0,1.0,1.53,1.53,1.49,1.49,535100.0
2017-07-05,1.53,1.55,1.51,1.54,200600.0,0.0,1.0,1.53,1.55,1.51,1.54,200600.0
2017-07-04,1.54,1.54,1.51,1.51,160300.0,0.0,1.0,1.54,1.54,1.51,1.51,160300.0
2017-07-03,1.59,1.59,1.53,1.53,569500.0,0.0,1.0,1.59,1.59,1.53,1.53,569500.0
2017-06-30,1.47,1.59,1.46,1.58,3300700.0,0.0,1.0,1.47,1.59,1.46,1.58,3300700.0
2017-06-29,1.42,1.47,1.42,1.47,822200.0,0.0,1.0,1.42,1.47,1.42,1.47,822200.0
2017-06-28,0.0,1.44,1.4,1.41,751100.0,0.0,1.0,0.0,1.44,1.4,1.41,751100.0
2017-06-23,1.46,1.47,1.43,1.44,562400.0,0.0,1.0,1.46,1.47,1.43,1.44,562400.0
2017-06-22,1.46,1.49,1.45,1.46,552500.0,0.0,1.0,1.46,1.49,1.45,1.46,552500.0
2017-06-21,1.5,1.5,1.47,1.48,444400.0,0.0,1.0,1.5,1.5,1.47,1.48,444400.0
2017-06-20,1.52,1.52,1.48,1.51,537500.0,0.0,1.0,1.52,1.52,1.48,1.51,537500.0
2017-06-19,1.54,1.57,1.49,1.5,661600.0,0.0,1.0,1.54,1.57,1.49,1.5,661600.0
2017-06-16,1.51,1.56,1.51,1.53,481000.0,0.0,1.0,1.51,1.56,1.51,1.53,481000.0
2017-06-15,1.53,1.53,1.51,1.51,486300.0,0.0,1.0,1.53,1.53,1.51,1.51,486300.0
2017-06-14,1.56,1.57,1.52,1.54,560000.0,0.0,1.0,1.56,1.57,1.52,1.54,560000.0
2017-06-13,1.58,1.58,1.54,1.55,486600.0,0.0,1.0,1.58,1.58,1.54,1.55,486600.0
2017-06-09,1.59,1.6,1.57,1.58,296400.0,0.0,1.0,1.59,1.6,1.57,1.58,296400.0
2017-06-08,1.64,1.64,1.59,1.6,440600.0,0.0,1.0,1.64,1.64,1.59,1.6,440600.0
2017-06-07,1.63,1.68,1.61,1.62,1336300.0,0.0,1.0,1.63,1.68,1.61,1.62,1336300.0
2017-06-06,1.53,1.63,1.51,1.6,1404400.0,0.0,1.0,1.53,1.63,1.51,1.6,1404400.0
2017-06-05,1.51,1.55,1.5,1.53,581900.0,0.0,1.0,1.51,1.55,1.5,1.53,581900.0
2017-06-02,1.54,1.55,1.5,1.5,1024200.0,0.0,1.0,1.54,1.55,1.5,1.5,1024200.0
2017-06-01,1.51,1.59,1.48,1.54,803600.0,0.0,1.0,1.51,1.59,1.48,1.54,803600.0
2017-05-31,1.46,1.54,1.4,1.51,4550400.0,0.0,1.0,1.46,1.54,1.4,1.51,4550400.0
2017-05-30,1.69,1.74,1.62,1.64,1202300.0,0.0,1.0,1.69,1.74,1.62,1.64,1202300.0
2017-05-29,1.67,1.75,1.67,1.69,3597200.0,0.0,1.0,1.67,1.75,1.67,1.69,3597200.0
2017-05-26,1.66,1.68,1.61,1.61,3144100.0,0.0,1.0,1.66,1.68,1.61,1.61,3144100.0
2017-05-25,1.53,1.64,1.52,1.63,4289300.0,0.0,1.0,1.53,1.64,1.52,1.63,4289300.0
2017-05-24,1.48,1.52,1.48,1.51,1747400.0,0.0,1.0,1.48,1.52,1.48,1.51,1747400.0
2017-05-23,1.45,1.48,1.44,1.47,1053600.0,0.0,1.0,1.45,1.48,1.44,1.47,1053600.0
2017-05-22,1.45,1.46,1.4,1.43,776900.0,0.0,1.0,1.45,1.46,1.4,1.43,776900.0
2017-05-19,1.46,1.46,1.44,1.44,490000.0,0.0,1.0,1.46,1.46,1.44,1.44,490000.0
2017-05-18,1.46,1.48,1.41,1.46,560100.0,0.0,1.0,1.46,1.48,1.41,1.46,560100.0
2017-05-17,1.46,1.53,1.46,1.47,1167600.0,0.0,1.0,1.46,1.53,1.46,1.47,1167600.0
2017-05-16,1.38,1.5,1.38,1.46,1594900.0,0.0,1.0,1.38,1.5,1.38,1.46,1594900.0
2017-05-15,1.38,1.4,1.35,1.38,594900.0,0.0,1.0,1.38,1.4,1.35,1.38,594900.0
2017-05-12,1.39,1.39,1.35,1.38,608800.0,0.0,1.0,1.39,1.39,1.35,1.38,608800.0
2017-05-11,1.41,1.42,1.36,1.39,434300.0,0.02,1.0,1.41,1.42,1.36,1.39,434300.0
