RESULT_COUNT: 244873,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 25,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE
000000877,AFDB 7.375 04/06/23:SIX,BBG00000XLD1,,AFDB 7.375 04/06/23:SIX,AFRICAN DEVELOPMENT BANK,Corp,EURO-DOLLAR,LUX,
000000936,IBRD 7.625 01/19/23:SIX,BBG00001RR52,,IBRD 7.625 01/19/23:SIX,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,Corp,GLOBAL,LUX,
000001,000001:CS,BBG000BZDQD3,BBG000BZDPV5,000001:CH,PING AN BANK CO LTD-A,Equity,Common Stock,SHE,2017-07-21
000002,000002:CS,BBG000BZB0Z8,BBG000BZ9Z48,000002:CH,CHINA VANKE CO LTD -A,Equity,Common Stock,SHE,2009-06-08
000002072,STLNO 7.875 12/09/22 REGS:LUXEMBOURG,BBG00FGFRNF9,,STLNO 7.875 12/09/22 REGS:LUXEMBOURG,STATOIL ASA,Corp,EURO-DOLLAR,LUX,
000004,000004:CS,BBG000BZFTX3,BBG000BZFT18,000004:CH,SHENZHEN CAU TECHNOLOGY CO. LTD.,Equity,Common Stock,SHE,
000004249,ANZ F PERP:LUXEMBOURG,BBG00000GN82,,ANZ F PERP:LUXEMBOURG,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.,Corp,EURO-DOLLAR,LUX,
000004252,DNBNO F PERP:LUXEMBOURG,BBG00000GNY3,,DNBNO F PERP:LUXEMBOURG,DEN NORSKE BANK,Corp,EURO-DOLLAR,LUX,
000004253,BNP F PERP:TRACE,BBG00000GPM1,,BNP F PERP:TRACE,BNP PARIBAS,Corp,EURO-DOLLAR,LUX,
000004263,DNBNO F PERP OLD:LUXEMBOURG,BBG00000GR38,,DNBNO F PERP OLD:LUXEMBOURG,DEN NORSKE BANK,Corp,EURO-DOLLAR,LUX,
000004264,DNBNO F PERP NEW:LUXEMBOURG,BBG00000GR29,,DNBNO F PERP NEW:LUXEMBOURG,DEN NORSKE BANK,Corp,EURO-DOLLAR,LUX,
000004274,ROTH F PERP:FRANKFURT,BBG00000J9R9,,ROTH F PERP:FRANKFURT,ROTHSCHILD CONTINUATIONS FINANCE B.V.,Corp,EURO-DOLLAR,LUX,
000004278,SOCGEN F PERP:LUXEMBOURG,BBG00000GWG3,,SOCGEN F PERP:LUXEMBOURG,SOCIETE GENERALE S.A.,Corp,EURO-DOLLAR,LUX,
000004392,BRCOL 7.875 11/30/23:FRANKFURT,BBG00001Z4Q1,,BRCOL 7.875 11/30/23:FRANKFURT,BRITISH COLUMBIA (PROVINCE OF CANADA),Govt,EURO NON-DOLLAR,LUX,
000004520,QHEL 9.625 07/15/22 +IC:LUXEMBOURG,BBG00001KMW0,,QHEL 9.625 07/15/22 +IC:LUXEMBOURG,HYDRO-QUEBEC,Govt,GLOBAL,LUX,
000004610,ONT 7.5 02/07/24:SGX-ST,BBG0000233X8,,ONT 7.5 02/07/24:SGX-ST,ONTARIO (PROVINCE OF CANADA),Govt,GLOBAL,LUX,
000004614,OHYD 10.125 10/15/21:HONG KONG,BBG0000178V7,,OHYD 10.125 10/15/21:HONG KONG,ONTARIO ELECTRICITY FINANCIAL CORPORATION,Govt,GLOBAL,LUX,
000004637,Q 9.375 01/16/23:LUXEMBOURG,BBG00000L004,,Q 9.375 01/16/23:LUXEMBOURG,QUEBEC (PROVINCE OF CANADA),Govt,GLOBAL,LUX,
000004737,OHYD 0 04/11/18 +27:HONG KONG,BBG0000149Q4,,OHYD 0 04/11/18 +27:HONG KONG,ONTARIO ELECTRICITY FINANCIAL CORPORATION,Govt,GLOBAL,LUX,
000004738,OHYD 0 04/11/19 +28:HONG KONG,BBG0000149S2,,OHYD 0 04/11/19 +28:HONG KONG,ONTARIO ELECTRICITY FINANCIAL CORPORATION,Govt,GLOBAL,LUX,
000004739,OHYD 0 04/11/20 +29:LUXEMBOURG,BBG0000149W7,,OHYD 0 04/11/20 +29:LUXEMBOURG,ONTARIO ELECTRICITY FINANCIAL CORPORATION,Govt,GLOBAL,LUX,
000004740,OHYD 0 04/11/21 +30:HONG KONG,BBG0000149X6,,OHYD 0 04/11/21 +30:HONG KONG,ONTARIO ELECTRICITY FINANCIAL CORPORATION,Govt,GLOBAL,LUX,
