RESULT_COUNT: 966,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE
0001,SCT:MK,BBG000BGQW39,BBG000BGQVT3,SCT:MK,SUPERCOMNET TECHNOLOGIES BERHAD,Equity,Common Stock,,2016-06-07
0002,KTRI:MK,BBG000BDDMJ5,BBG000BDDM41,KTRI:MK,KOTRA INDUSTRIES BHD,Equity,Common Stock,,2017-03-06
0005,PMB:MK,BBG000BGR804,BBG000BGR7M2,PMB:MK,PALETTE MULTIMEDIA BHD,Equity,Common Stock,,2014-08-25
0006,PINE:MK,BBG000BGR2V3,BBG000BGR2F1,PINE:MK,PINEAPPLE RESOURCES BERHAD,Equity,Common Stock,,
0007,PUCF:MK,BBG000BJQTL0,BBG000BJQSW0,PUCF:MK,PUC FOUNDER,Equity,Common Stock,,2014-12-23
0008,WLW:MK,BBG000BPTFS6,BBG000BPTF97,WLW:MK,WILLOWGLEN MSC BHD,Equity,Common Stock,,2017-05-11
0010,ICB:MK,BBG000KVQ0N4,BBG000KVQ009,ICB:MK,IRIS CORP BERHAD,Equity,Common Stock,,2013-11-06
0010PA,ICBMK 3 06/24/11:BURSA MALAYSIA,BBG0000097N8,,ICBMK 3 06/24/11:BURSA MALAYSIA,IRIS CORP BHD,Pfd,PUBLIC,,
0011,BTEC:MK,BBG000NKKS41,BBG000NKKRQ9,BTEC:MK,BRITE-TECH BERHAD,Equity,Common Stock,,2017-09-13
0012,TARE:MK,BBG000NNXFL0,BBG000NNXFC0,TARE:MK,THREE-A RESOURCES BHD,Equity,Common Stock,,2017-05-23
0017,M3T:MK,BBG000LJJJ93,BBG000LJJHK4,M3T:MK,M3 TECHNOLOGIES (ASIA) BERHAD,Equity,Common Stock,,2016-07-11
0018,ACC:MK,BBG000M84271,BBG000M841L7,ACC:MK,ACCSOFT TECHNOLOGY BERHAD,Equity,Common Stock,,
0020,NETX:MK,BBG000CKZXZ2,BBG000CKZX19,NETX:MK,NETX HOLDINGS BERHAD,Equity,Common Stock,,2016-05-16
0021,GHLS:MK,BBG000FL5X17,BBG000FL5WS0,GHLS:MK,GHL SYSTEMS BHD,Equity,Common Stock,,2017-03-03
0023,IFCA:MK,BBG000PPHJ97,BBG000PPHHY3,IFCA:MK,IFCA MSC BERHAD,Equity,Common Stock,,
0024,JAG:MK,BBG000DBD8J8,BBG000DBD7R1,JAG:MK,JAG BERHAD,Equity,Common Stock,,2014-08-11
0025,LNGR:MK,BBG000DC61K7,BBG000DC6172,LNGR:MK,LNG RESOURCES BERHAD,Equity,Common Stock,,2011-09-07
0026,NOVM:MK,BBG000NBB783,BBG000NBB676,NOVM:MK,NOVA MSC BERHAD,Equity,Common Stock,,
0028,SCP:MK,BBG000BC2KL0,BBG000BC2K49,SCP:MK,SCOPE INDUSTRIES BERHAD,Equity,Common Stock,,2012-07-12
0029,DICB:MK,BBG000BW9YX6,BBG000BW9YR3,DICB:MK,DIGISTAR CORPORATION BERHAD,Equity,Common Stock,,2013-03-11
0032,RIB:MK,BBG000DZ03F4,BBG000DZ02Y5,RIB:MK,REDTONE INTERNATIONAL BHD,Equity,Common Stock,,2015-01-22
0034,MMAG:MK,BBG000CCGDH5,BBG000CCGD85,MMAG:MK,MMAG HOLDINGS BERHAD,Equity,Common Stock,,2017-06-01
0035,OHB:MK,BBG000DFZXX4,BBG000DFZXC7,OHB:MK,OPCOM HOLDINGS BERHAD,Equity,Common Stock,,2012-09-14
0036,KAG:MK,BBG000F4HKQ3,BBG000F4HKD7,KAG:MK,KEY ALLIANCE GROUP BERHAD,Equity,Common Stock,,
0037,RGB:MK,BBG000GK59C9,BBG000GK57Q8,RGB:MK,RGB INTERNATIONAL BHD,Equity,Common Stock,,2017-06-13
0038,PTB:MK,BBG000GNLHB8,BBG000GNLH37,PTB:MK,PLASTRADE TECHNOLOGY BHD,Equity,Common Stock,,
0039,GFM:MK,BBG00FJ21811,BBG00FJ21802,GFM:MK,GFM SERVICES BHD,Equity,Common Stock,,
0039,GFM:MK,BBG00FJ21811,BBG00FJ21802,GFM:MK,GFM SERVICES BERHAD,Equity,Common Stock,,2017-06-06
0040,OPEN:MK,BBG000H8ZBB8,BBG000H8ZB28,OPEN:MK,OPENSYS (M) BHD,Equity,Common Stock,,2017-03-29
0041,PAN:MK,BBG000NDNBY8,BBG000NDNBK3,PAN:MK,PANPAGES BERHAD,Equity,Common Stock,,2013-09-26
0043,MEGB:MK,BBG000PPH6Z6,BBG000PPH6S4,MEGB:MK,METRONIC GLOBAL BHD,Equity,Common Stock,,2007-07-09
0045,GNB:MK,BBG000PV3116,BBG000PV2ZT2,GNB:MK,G NEPTUNE BERHAD,Equity,Common Stock,,
0047,PPT:MK,BBG000PX6S10,BBG000PX6QQ7,PPT:MK,PERISAI PETROLEUM TEKNOLOGI BHD,Equity,Common Stock,,2009-05-20
0048,ALB:MK,BBG000KX6RS8,BBG000KX6R99,ALB:MK,ANCOM LOGISTICS BERHAD,Equity,Common Stock,,2014-05-28
0049,OCP:MK,BBG000Q36Q73,BBG000Q36PL9,OCP:MK,OCEANCASH PACIFIC BHD,Equity,Common Stock,,2015-12-08
0050,SYTC:MK,BBG000Q37471,BBG000Q373Y3,SYTC:MK,SYSTECH BHD,Equity,Common Stock,,2016-08-29
0051,CUSC:MK,BBG000Q373M6,BBG000Q373D6,CUSC:MK,CUSCAPI BERHAD,Equity,Common Stock,,2012-03-28
0053,OSKV:MK,BBG000Q4S635,BBG000Q4S5N5,OSKV:MK,OSK VENTURES INTERNATIONAL BHD,Equity,Common Stock,,2012-08-28
0054,KARY:MK,BBG000BGCM72,BBG000BGCLZ3,KARY:MK,KARYON INDUSTRIES BHD,Equity,Common Stock,,2015-06-17
0055,SER:MK,BBG000Q8WB21,BBG000Q8W9N3,SER:MK,SERSOL BERHAD,Equity,Common Stock,,2013-03-27
0056,GFLO:MK,BBG000QC81F7,BBG000QC8112,GFLO:MK,GRAND-FLO BERHAD,Equity,Common Stock,,2016-06-28
0058,JCB:MK,BBG000QD2Z66,BBG000QD2YR6,JCB:MK,JCBNEXT BERHAD,Equity,Common Stock,,2017-07-07
0059,MMB:MK,BBG000QLH3J9,BBG000QLH381,MMB:MK,M-MODE BERHAD,Equity,Common Stock,,2016-06-07
0060,SKH:MK,BBG000J46DT4,BBG000J46DC2,SKH:MK,SKH CONSORTIUM BERHAD,Equity,Common Stock,,2011-12-16
0064,EES:MK,BBG000QMB8G5,BBG000QMB4V7,EES:MK,EFFICIENT E-SOLUTIONS BERHAD,Equity,Common Stock,,2016-04-01
0065,EFM:MK,BBG000QMB9V6,BBG000QMB9G3,EFM:MK,EXCEL FORCE MSC BHD,Equity,Common Stock,,2017-06-16
0066,VSOL:MK,BBG000QMB991,BBG000QMB8X6,VSOL:MK,VSOLAR GROUP BERHAD,Equity,Common Stock,,2012-11-01
0068,ASD:MK,BBG000MVLTT8,BBG000MVLSC8,ASD:MK,ASDION BHD,Equity,Common Stock,,
0069,VIVO:MK,BBG000QQCQY5,BBG000QQCQP5,VIVO:MK,VIVOCOM INTL HOLDINGS BERHAD,Equity,Common Stock,,2016-09-05
0070,MQ:MK,BBG000QQH5L0,BBG000QQH594,MQ:MK,MQ TECHNOLOGY BHD,Equity,Common Stock,,2016-10-26
0072,ATSY:MK,BBG000QSWN03,BBG000QSWM69,ATSY:MK,AT SYSTEMATIZATION BHD,Equity,Common Stock,,2017-09-12
0074,GOCB:MK,BBG000BWPHN6,BBG000BWPGN8,GOCB:MK,GREEN OCEAN CORPORATION BERHAD,Equity,Common Stock,,
0075,MEXT:MK,BBG000D40Y65,BBG000D40XC0,MEXT:MK,MEXTER TECHNOLOGY BHD,Equity,Common Stock,,2013-08-22
0078,GDX:MK,BBG000G8F828,BBG000G8F7D8,GDX:MK,GD EXPRESS CARRIER BHD,Equity,Common Stock,,2017-06-07
0079,ORI:MK,BBG000G8Y113,BBG000G8Y0P9,ORI:MK,ORION IXL BERHAD,Equity,Common Stock,,2017-06-30
0080,RAYA:MK,BBG000FYPVX6,BBG000FYPVK0,RAYA:MK,RAYA INTERNATIONAL BERHAD,Equity,Common Stock,,2017-07-17
0081,MEGA:MK,BBG000GFZNV5,BBG000GFZNB7,MEGA:MK,MEGA SUN CITY HOLDINGS BERHAD,Equity,Common Stock,,2007-01-03
0082,GRPB:MK,BBG000GH9T47,BBG000GH9SF7,GRPB:MK,GREEN PACKET BHD,Equity,Common Stock,,2007-07-13
0083,NVB:MK,BBG000GL6VX4,BBG000GL6VC7,NVB:MK,NOTION VTEC BHD,Equity,Common Stock,,2017-09-05
0084,TECF:MK,BBG000C3T347,BBG000C3T2W8,TECF:MK,TECHFAST HOLDINGS BHD,Equity,Common Stock,,2017-09-08
0085,MLAB:MK,BBG000BZSNW3,BBG000BZSNM4,MLAB:MK,MLABS SYSTEMS BHD,Equity,Common Stock,,2017-08-09
