RESULT_COUNT: 5071,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,,,,,
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE
A,A:US,BBG000C2V3D6,BBG000C2V3D6,A:US,AGILENT TECHNOLOGIES INC,Equity,Common Stock,NYSE,2017-06-29
AA,AA:US,BBG00B3T3HD3,BBG00B3T3HD3,AA:US,ALCOA CORP,Equity,Common Stock,NYSE,2016-10-06
AAC,AAC:US,BBG006T1NZ18,BBG006T1NZ18,AAC:US,AAC HOLDINGS INC,Equity,Common Stock,NYSE,
AADR,AADR:US,BBG000BDYRW6,BBG000BDYRW6,AADR:US,ADVISORSHARES DORSEY WRIGHT,Equity,ETP,NYSE,2017-06-26
AAMC,AAMC:US,BBG003PNL136,BBG003PNL136,AAMC:US,ALTISOURCE ASSET MANAGEMENT,Equity,Common Stock,NYSE,
AAN,AAN:US,BBG000D9V7T4,BBG000D9V7T4,AAN:US,AARON'S INC,Equity,Common Stock,NYSE,2017-09-14
AAP,AAP:US,BBG000F7RCJ1,BBG000F7RCJ1,AAP:US,ADVANCE AUTO PARTS INC,Equity,Common Stock,NYSE,2017-09-21
AAT,AAT:US,BBG00161BCR0,BBG00161BCR0,AAT:US,AMERICAN ASSETS TRUST INC,Equity,REIT,NYSE,2017-09-13
AAU,AAU:US,BBG000DGFSY4,BBG000DGFSY4,AAU:US,ALMADEN MINERALS LTD - B,Equity,Common Stock,NYSE,
AAV,AAV:US,BBG000C5QZ62,BBG000C5QZ62,AAV:US,ADVANTAGE OIL & GAS LTD,Equity,Common Stock,NYSE,2009-02-25
AB,AB:US,BBG000B9WM03,BBG000B9WM03,AB:US,ALLIANCEBERNSTEIN HOLDING LP,Equity,MLP,NYSE,2017-08-03
ABB,ABB:US,BBG000DK5Q25,BBG000DK5Q25,ABB:US,ABB LTD-SPON ADR,Equity,ADR,NYSE,2017-04-18
ABBV,ABBV:US,BBG0025Y4RY4,BBG0025Y4RY4,ABBV:US,ABBVIE INC,Equity,Common Stock,NYSE,2017-07-12
ABC,ABC:US,BBG000MDCQC2,BBG000MDCQC2,ABC:US,AMERISOURCEBERGEN CORP,Equity,Common Stock,NYSE,2017-08-17
ABE,ABE:US,BBG000C24FY6,BBG000C24FY6,ABE:US,"ABERDEEN EMERGING MARKETS COMPANY OPPOTUNITIES FUND, INC. COMMON STOCK",Equity,Closed-End Fund,NYSE,2017-07-20
ABEV,ABEV:US,BBG000BN5VZ4,BBG000BN5VZ4,ABEV:US,AMBEV SA-ADR,Equity,ADR,NYSE,2016-11-01
ABG,ABG:US,BBG000BKDWB5,BBG000BKDWB5,ABG:US,ASBURY AUTOMOTIVE GROUP,Equity,Common Stock,NYSE,2008-07-30
ABM,ABM:US,BBG000B9YYH7,BBG000B9YYH7,ABM:US,ABM INDUSTRIES INC,Equity,Common Stock,NYSE,2017-07-03
ABR,ABR:US,BBG000KMVDV1,BBG000KMVDV1,ABR:US,ARBOR REALTY TRUST INC,Equity,REIT,NYSE,2017-08-14
ABRN,ABR 7.375 05/15/21:NEW YORK,BBG006G58WW3,,,ARBOR REALTY TRUST INC,Pfd,PUBLIC,NYSE,2014-07-30
ABS,ABS:US,BBG009KG1750,BBG009KG1750,ABS:US,ALBERTSONS COS INC,Equity,Common Stock,NYSE,
ABT,ABT:US,BBG000B9ZXB4,BBG000B9ZXB4,ABT:US,ABBOTT LABORATORIES,Equity,Common Stock,NYSE,2017-07-12
ABX,ABX:US,BBG000BB07P9,BBG000BB07P9,ABX:US,BARRICK GOLD CORP,Equity,Common Stock,NYSE,2017-08-29
AC,AC:US,BBG008NZ8QC0,BBG008NZ8QC0,AC:US,ASSOCIATED CAPITAL GROUP - A,Equity,Common Stock,NYSE,2017-06-23
ACC,ACC:US,BBG000M9KP89,BBG000M9KP89,ACC:US,AMERICAN CAMPUS COMMUNITIES,Equity,REIT,NYSE,2017-08-10
ACCO,ACCO:US,BBG000J06K07,BBG000J06K07,ACCO:US,ACCO BRANDS CORP,Equity,Common Stock,NYSE,
ACG,ACG:UN,BBG000BB1B42,BBG000BB1732,ACG:US,ALLIANCEBERNSTEIN INC FUND,Equity,Closed-End Fund,NYSE,2016-02-03
ACH,ACH:US,BBG000CMRVH1,BBG000CMRVH1,ACH:US,ALUMINUM CORP OF CHINA-ADR,Equity,ADR,NYSE,2011-04-26
ACIM,ACIM:US,BBG002PKWJJ6,BBG002PKWJJ6,ACIM:US,SPDR MSCI ACWI IMI ETF,Equity,ETP,NYSE,2017-06-16
ACM,ACM:US,BBG000F61RJ8,BBG000F61RJ8,ACM:US,AECOM,Equity,Common Stock,NYSE,
ACN,ACN:US,BBG000D9D830,BBG000D9D830,ACN:US,ACCENTURE PLC-CL A,Equity,Common Stock,NYSE,2017-04-11
ACP,ACP:US,BBG0017VSC04,BBG0017VSC04,ACP:US,AVENUE INCOME CREDIT STRATEG,Equity,Closed-End Fund,NYSE,2016-10-11
ACRE,ACRE:US,BBG0022MMQB0,BBG0022MMQB0,ACRE:US,ARES COMMERCIAL REAL ESTATE,Equity,REIT,NYSE,2017-06-28
ACU,ACU:US,BBG000BB3LM8,BBG000BB3LM8,ACU:US,ACME UNITED CORP,Equity,Common Stock,NYSE,2017-07-18
ACV,ACV:US,BBG008HMBD22,BBG008HMBD22,ACV:US,ALLIANZGI DIVERSIFIED INCOME,Equity,Closed-End Fund,NYSE,2016-10-11
ACW,ACW:UN,BBG000QF2VN1,BBG000QF2TP4,ACW:US,ACCURIDE CORP,Equity,Common Stock,NYSE,2010-11-19
ACWF,ACWF:US,BBG008LNZHV8,BBG008LNZHV8,ACWF:US,ISHARES EDGE MSCI MULTIFACTOR GLOBAL ETF,Equity,ETP,NYSE,2016-06-22
ACWV,ACWV:US,BBG0025X38X0,BBG0025X38X0,ACWV:US,ISHARES EDGE MSCI MIN VOL GLOBAL ETF,Equity,ETP,NYSE,2016-06-22
ACY,ACY:US,BBG000B9WP24,BBG000B9WP24,ACY:US,AEROCENTURY CORP,Equity,Common Stock,NYSE,
ADC,ADC:US,BBG000BC9DK0,BBG000BC9DK0,ADC:US,AGREE REALTY CORP,Equity,REIT,NYSE,2017-06-28
ADGE,ADGE:UN,BBG000B9WLK3,BBG000B9WLK3,ADGE:US,AMERICAN DG ENERGY INC,Equity,Common Stock,NYSE,
ADK,ADK:US,BBG000PYP3D9,BBG000PYP3D9,ADK:US,ADCARE HEALTH SYSTEMS INC,Equity,Common Stock,NYSE,2015-10-13
ADM,ADM:US,BBG000BB6WG8,BBG000BB6WG8,ADM:US,ARCHER-DANIELS-MIDLAND CO,Equity,Common Stock,NYSE,2017-08-15
ADNT,ADNT:US,BBG009PN0C87,BBG009PN0C87,ADNT:US,ADIENT PLC,Equity,Common Stock,NYSE,2017-07-24
ADPT,ADPT:UN,BBG006JS1PC4,BBG006JS1NR3,ADPTQ:US,ADEPTUS HEALTH INC-CLASS A,Equity,Common Stock,NYSE,
ADS,ADS:US,BBG000BFNR17,BBG000BFNR17,ADS:US,ALLIANCE DATA SYSTEMS CORP,Equity,Common Stock,NYSE,2017-08-10
ADSW,ADSW:US,BBG003FJ1CY0,BBG003FJ1CY0,ADSW:US,ADVANCED DISPOSAL SERVICES I,Equity,Common Stock,NYSE,
ADT,ADT:UN,BBG003CFK815,BBG003641015,ADT:US,ADT CORP/THE,Equity,Common Stock,NYSE,2016-01-25
ADX,ADX:US,BBG000BB8MR6,BBG000BB8MR6,ADX:US,ADAMS DIVERSIFIED EQUITY FUN,Equity,Closed-End Fund,NYSE,2017-08-09
ADZ,ADZ:US,BBG000VGZ8T2,BBG000VGZ8T2,ADZ:US,DB AGRICULTURE SHORT ETN,Equity,ETP,NYSE,
